assembly_accession	species	subsp	strain
GCF_000963635.1	Mannheimia haemolytica		89010807N laboratory, frozen stock
GCF_000963675.1	Mannheimia haemolytica		89010807N laboratory, frozen stock
GCF_002285575.1	Mannheimia haemolytica		USDA-ARS-USMARC-191
GCF_002285615.1	Mannheimia haemolytica		USDA-ARS-USMARC-186
GCF_002285815.1	Mannheimia haemolytica		USDA-ARS-USMARC-193
GCF_007963885.1	Mannheimia haemolytica		1451
GCF_007964225.1	Mannheimia haemolytica		1405
GCF_007964465.1	Mannheimia haemolytica		1383
GCF_007964805.1	Mannheimia haemolytica		1367
GCF_007964925.1	Mannheimia haemolytica		1342
GCF_007965585.1	Mannheimia haemolytica		1318
GCF_007965905.1	Mannheimia haemolytica		1287
GCF_007966105.1	Mannheimia haemolytica		1282
GCF_007973265.1	Mannheimia haemolytica		39433
GCF_007973365.1	Mannheimia haemolytica		39409
GCF_007973825.1	Mannheimia haemolytica		39382
GCF_007974025.1	Mannheimia haemolytica		39373
GCF_007974045.1	Mannheimia haemolytica		39309
GCF_007974065.1	Mannheimia haemolytica		39107
GCF_007974085.1	Mannheimia haemolytica		38599
GCF_007974105.1	Mannheimia haemolytica		38202
GCF_007974125.1	Mannheimia haemolytica		38120
GCF_007974145.1	Mannheimia haemolytica		38089
GCF_007974165.1	Mannheimia haemolytica		37778
GCF_007974375.1	Mannheimia haemolytica		37121
GCF_007974525.1	Mannheimia haemolytica		34142
GCF_007974745.1	Mannheimia haemolytica		33980
GCF_007975085.1	Mannheimia haemolytica		33690
GCF_007975225.1	Mannheimia haemolytica		33041
GCF_007975365.1	Mannheimia haemolytica		32852
GCF_007975575.1	Mannheimia haemolytica		32795
GCF_007975765.1	Mannheimia haemolytica		32635
GCF_007976025.1	Mannheimia haemolytica		32619
GCF_007976245.1	Mannheimia haemolytica		28488
GCF_007976445.1	Mannheimia haemolytica		28253
GCF_007976625.1	Mannheimia haemolytica		28240
GCF_007976765.1	Mannheimia haemolytica		28226
GCF_007976905.1	Mannheimia haemolytica		23579
GCF_007977085.1	Mannheimia haemolytica		23570
GCF_007977225.1	Mannheimia haemolytica		23558
GCF_007977495.1	Mannheimia haemolytica		23533
GCF_007977645.1	Mannheimia haemolytica		23311
GCF_007977825.1	Mannheimia haemolytica		23278
GCF_007978045.1	Mannheimia haemolytica		23217
GCF_007978185.1	Mannheimia haemolytica		22650
GCF_007978365.1	Mannheimia haemolytica		22604
GCF_007978505.1	Mannheimia haemolytica		22549
GCF_007978905.1	Mannheimia haemolytica		1584
GCF_007979065.1	Mannheimia haemolytica		1583
GCF_007979225.1	Mannheimia haemolytica		1582
GCF_007979365.1	Mannheimia haemolytica		1576
GCF_007979525.1	Mannheimia haemolytica		1571
GCF_007979665.1	Mannheimia haemolytica		1567
GCF_007980045.1	Mannheimia haemolytica		1561
GCF_007980145.1	Mannheimia haemolytica		1560
GCF_007980285.1	Mannheimia haemolytica		1532
GCF_007980445.1	Mannheimia haemolytica		1514
GCF_007980785.1	Mannheimia haemolytica		1506
GCF_007980965.1	Mannheimia haemolytica		1498
GCF_007981005.1	Mannheimia haemolytica		1475
GCF_000819525.2	Mannheimia haemolytica		USDA-ARS-USMARC-184
GCF_000349785.2	Mannheimia haemolytica		USDA-ARS-USMARC-185
GCF_000349765.2	Mannheimia haemolytica		USDA-ARS-USMARC-183
GCF_000422145.1	Mannheimia haemolytica		D153
GCF_000427275.1	Mannheimia haemolytica		D171
GCF_000376645.1	Mannheimia haemolytica		M42548
GCF_000439735.1	Mannheimia haemolytica		USMARC_2286
