assembly_accession	species	subsp	strain
GCF_000742715.1	Corynebacterium glutamicum		ATCC 21831
GCF_000742735.1	Corynebacterium glutamicum		AR1
GCF_000828015.1	Corynebacterium glutamicum		B253
GCF_001447865.2	Corynebacterium glutamicum		CP
GCF_001518935.2	Corynebacterium glutamicum		USDA-ARS-USMARC-56828
GCF_001643035.1	Corynebacterium glutamicum		YI
GCF_001687645.1	Corynebacterium glutamicum		ATCC 13869
GCF_001936195.1	Corynebacterium glutamicum		XV
GCF_002163915.1	Corynebacterium glutamicum		TQ2223
GCF_002220135.1	Corynebacterium glutamicum		WM001
GCF_002277975.1	Corynebacterium glutamicum		C1
GCF_002355675.1	Corynebacterium glutamicum		AJ1511
GCF_002847405.1	Corynebacterium glutamicum		Corynebacterium glutamicum ATCC 13032
GCF_002847425.1	Corynebacterium glutamicum		Corynebacterium glutamicum ATCC 13032
GCF_007430945.1	Corynebacterium glutamicum		JH41 parent
GCF_007431185.1	Corynebacterium glutamicum		JH41
GCF_007833315.1	Corynebacterium glutamicum		B414
GCF_007833335.1	Corynebacterium glutamicum		CICC10064
GCF_013046805.1	Corynebacterium glutamicum		BE
GCF_017579845.1	Corynebacterium glutamicum		BCA
GCF_018286655.1	Corynebacterium glutamicum		CGMCC1.15647
GCF_000011325.1	Corynebacterium glutamicum		ATCC 13032
GCF_000196335.1	Corynebacterium glutamicum		DSM 20300 = ATCC 13032
GCF_000010225.1	Corynebacterium glutamicum		R
GCF_002243555.1	Corynebacterium glutamicum		ATCC 14067
GCF_000382905.1	Corynebacterium glutamicum		ATCC 13032 substr. K051
GCF_000404145.1	Corynebacterium glutamicum		SCgG1
GCF_000404185.1	Corynebacterium glutamicum		SCgG2
GCF_001683115.1	Corynebacterium glutamicum		ZL-6
GCF_000445015.1	Corynebacterium glutamicum		MB001
