assembly_accession	species	subsp	strain
GCF_000597965.1	Staphylococcus aureus		502A RN6607
GCF_000626615.2	Staphylococcus aureus		FDAARGOS_5
GCF_000695215.1	Staphylococcus aureus		H-EMRSA-15
GCF_000695875.1	Staphylococcus aureus		UA-S391_USA300 abscess/wound isolate
GCF_000746505.1	Staphylococcus aureus		2395 USA500
GCF_000756205.1	Staphylococcus aureus		ATCC 25923
GCF_000772025.1	Staphylococcus aureus		FORC_001
GCF_000815045.1	Staphylococcus aureus		ATCC BAA1680
GCF_000815085.1	Staphylococcus aureus		ATCC BAA1680
GCF_000815125.1	Staphylococcus aureus		ATCC BAA1680
GCF_000815165.1	Staphylococcus aureus		ATCC BAA1680
GCF_000815205.1	Staphylococcus aureus		ATCC BAA1680
GCF_000815245.1	Staphylococcus aureus		ATCC BAA1680
GCF_000969225.1	Staphylococcus aureus		FCFHV36
GCF_001018645.2	Staphylococcus aureus		FDAARGOS_2
GCF_001018655.2	Staphylococcus aureus		FDAARGOS_6
GCF_001018685.2	Staphylococcus aureus		FDAARGOS_4
GCF_001018735.2	Staphylococcus aureus		FDAARGOS_12
GCF_001018775.2	Staphylococcus aureus		FDAARGOS_14
GCF_001018805.1	Staphylococcus aureus		FDAARGOS_15
GCF_001018835.2	Staphylococcus aureus		FDAARGOS_19
GCF_001018845.2	Staphylococcus aureus		FDAARGOS_21
GCF_001018915.2	Staphylococcus aureus		FDAARGOS_27
GCF_001018975.2	Staphylococcus aureus		FDAARGOS_30
GCF_001019125.2	Staphylococcus aureus		FDAARGOS_43
GCF_001019205.2	Staphylococcus aureus		FDAARGOS_48
GCF_001019275.2	Staphylococcus aureus		FDAARGOS_7
GCF_001019305.2	Staphylococcus aureus		FDAARGOS_9
GCF_001019395.2	Staphylococcus aureus		FDAARGOS_20
GCF_001019415.2	Staphylococcus aureus		FDAARGOS_24
GCF_001019485.2	Staphylococcus aureus		FDAARGOS_35
GCF_001019535.2	Staphylococcus aureus		FDAARGOS_42
GCF_001019575.2	Staphylococcus aureus		FDAARGOS_47
GCF_001021875.1	Staphylococcus aureus		M121
GCF_001021895.1	Staphylococcus aureus		CA15
GCF_001027045.1	Staphylococcus aureus		RKI4
GCF_001027105.1	Staphylococcus aureus		DSM 20231
GCF_001045795.2	Staphylococcus aureus		CA12
GCF_001045995.2	Staphylococcus aureus		HUV05
GCF_001046095.2	Staphylococcus aureus		V2200
GCF_001183705.3	Staphylococcus aureus		USA300_2014.C01
GCF_001183725.2	Staphylococcus aureus		USA300_2014.C02
GCF_001278745.1	Staphylococcus aureus		HOU1444-VR
GCF_001281145.1	Staphylococcus aureus		SA564
GCF_001296985.1	Staphylococcus aureus		GR2
GCF_001298325.2	Staphylococcus aureus		BA01611
GCF_001307235.1	Staphylococcus aureus		JS395
GCF_001444345.1	Staphylococcus aureus		XQ
GCF_001456215.1	Staphylococcus aureus		MS4
GCF_001457495.1	Staphylococcus aureus		NCTC13435
GCF_001465635.1	Staphylococcus aureus		RIVM1295
GCF_001465675.1	Staphylococcus aureus		RIVM1607
GCF_001465755.1	Staphylococcus aureus		RIVM3897
GCF_001471715.2	Staphylococcus aureus		FDAARGOS_140
GCF_001515665.1	Staphylococcus aureus		Gv51
GCF_001515685.1	Staphylococcus aureus		Be62
GCF_001515705.1	Staphylococcus aureus		Gv88
GCF_001515745.1	Staphylococcus aureus		HC1340
GCF_001515765.1	Staphylococcus aureus		HC1335
GCF_001548295.1	Staphylococcus aureus		FDA209P
GCF_001548415.1	Staphylococcus aureus		MI
GCF_001549655.1	Staphylococcus aureus		TMUS2126
GCF_001549675.1	Staphylococcus aureus		TMUS2134
GCF_001558795.2	Staphylococcus aureus		FDAARGOS_159
GCF_001580495.1	Staphylococcus aureus		FORC_012 human sputum
GCF_001580515.1	Staphylococcus aureus		UTSW MRSA 55
GCF_001594205.1	Staphylococcus aureus		MCRF184
GCF_001611325.1	Staphylococcus aureus		ST20130940
GCF_001611345.1	Staphylococcus aureus		ST20130941
GCF_001611365.1	Staphylococcus aureus		ST20130942
GCF_001611385.1	Staphylococcus aureus		ST20130943
GCF_001611405.1	Staphylococcus aureus		ST20130938
GCF_001611425.1	Staphylococcus aureus		ST20130939
GCF_001618305.1	Staphylococcus aureus		RIVM6519
GCF_001640885.1	Staphylococcus aureus		ZJ5499
GCF_001640905.1	Staphylococcus aureus		NCCP14558 sequencing
GCF_001640925.1	Staphylococcus aureus		NCCP14562 Sequencing
GCF_001641025.1	Staphylococcus aureus		V521 Sequencing
GCF_001656045.1	Staphylococcus aureus		08-02119
GCF_001656075.1	Staphylococcus aureus		08-02300
GCF_001717645.1	Staphylococcus aureus		5118.N
GCF_001717665.1	Staphylococcus aureus		2148.N
GCF_001717685.1	Staphylococcus aureus		1971.C01
GCF_001717705.1	Staphylococcus aureus		1969.N
GCF_001717725.1	Staphylococcus aureus		1625.C01
GCF_001717975.2	Staphylococcus aureus		2148.C01
GCF_001725965.1	Staphylococcus aureus		FORC_027
GCF_001735655.2	Staphylococcus aureus		3020.C01
GCF_001879545.1	Staphylococcus aureus		FORC_026
GCF_001880265.1	Staphylococcus aureus		SA40TW
GCF_001887075.1	Staphylococcus aureus		LA-MRSA ST398 E154
GCF_001900185.1	Staphylococcus aureus		HG001 RN1
GCF_001956755.1	Staphylococcus aureus		SJTUF_J27
GCF_001956815.1	Staphylococcus aureus		USA300_SUR1
GCF_001975005.1	Staphylococcus aureus		UCI62
GCF_001975045.1	Staphylococcus aureus		UCI 28 ST5
GCF_001986135.1	Staphylococcus aureus		SR434
GCF_002000565.1	Staphylococcus aureus		USA300-SUR9
GCF_002000585.1	Staphylococcus aureus		USA300-SUR10
GCF_002000605.1	Staphylococcus aureus		USA300-SUR11
GCF_002000625.1	Staphylococcus aureus		USA300-SUR12
GCF_002000645.1	Staphylococcus aureus		USA300-SUR13
GCF_002000665.1	Staphylococcus aureus		USA300-SUR14
GCF_002000685.1	Staphylococcus aureus		USA300-SUR15
GCF_002000705.1	Staphylococcus aureus		USA300-SUR16
GCF_002000725.1	Staphylococcus aureus		USA300-SUR17
GCF_002000745.1	Staphylococcus aureus		USA300-SUR18
GCF_002000765.1	Staphylococcus aureus		USA300-SUR19
GCF_002000785.1	Staphylococcus aureus		USA300-SUR20
GCF_002000805.1	Staphylococcus aureus		USA300-SUR21
GCF_002000825.1	Staphylococcus aureus		USA300-SUR22
GCF_002000845.1	Staphylococcus aureus		USA300-SUR23
GCF_002000865.1	Staphylococcus aureus		USA300-SUR24
GCF_002025125.1	Staphylococcus aureus		08S00974
GCF_002025145.1	Staphylococcus aureus		ATCC 6538
GCF_002085525.1	Staphylococcus aureus		JE2
GCF_002088995.1	Staphylococcus aureus		C2406
GCF_002089035.2	Staphylococcus aureus		293G
GCF_002089055.1	Staphylococcus aureus		GD5
GCF_002089075.2	Staphylococcus aureus		GD705
GCF_002089095.2	Staphylococcus aureus		GD1677
GCF_002089115.2	Staphylococcus aureus		GD1539
GCF_002097595.2	Staphylococcus aureus		M92
GCF_002202075.1	Staphylococcus aureus		Seattle 1945 G477
GCF_002202095.1	Staphylococcus aureus		Seattle 1945 G478
GCF_002204555.1	Staphylococcus aureus		ISU935 ST5
GCF_002204575.1	Staphylococcus aureus		ISU926 ST398
GCF_002209325.1	Staphylococcus aureus		FORC_045
GCF_002214665.1	Staphylococcus aureus		FORC_040
GCF_002310395.1	Staphylococcus aureus		Newman_D2C
GCF_002355355.1	Staphylococcus aureus		OC8
GCF_002356655.1	Staphylococcus aureus		No. 10
GCF_002356675.1	Staphylococcus aureus		JH4899
GCF_002386245.1	Staphylococcus aureus		FDAARGOS_412
GCF_002407105.1	Staphylococcus aureus		NMR08
GCF_002442975.1	Staphylococcus aureus		HZW450
GCF_002633765.1	Staphylococcus aureus		CFSAN007835
GCF_002633785.1	Staphylococcus aureus		CFSAN007847
GCF_002633805.1	Staphylococcus aureus		CFSAN007850
GCF_002633825.1	Staphylococcus aureus		CFSAN007851
GCF_002633845.1	Staphylococcus aureus		CFSAN007883
GCF_002633865.1	Staphylococcus aureus		CFSAN007894
GCF_002786465.1	Staphylococcus aureus		EDCC5458
GCF_002786535.1	Staphylococcus aureus		EDCC5464
GCF_002795285.1	Staphylococcus aureus		USA400-0051
GCF_002803885.1	Staphylococcus aureus		55-99-44
GCF_003010875.1	Staphylococcus aureus		FORC59
GCF_003029645.1	Staphylococcus aureus		CFSAN064038
GCF_003029665.1	Staphylococcus aureus		SA112
GCF_003030065.1	Staphylococcus aureus		CFSAN018749
GCF_003030085.1	Staphylococcus aureus		CFSAN064037
GCF_003030225.1	Staphylococcus aureus		CFSAN018750
GCF_003031285.1	Staphylococcus aureus		TF3198
GCF_003031425.1	Staphylococcus aureus		CFSAN007896
GCF_003031465.1	Staphylococcus aureus		CR14-035
GCF_003031485.1	Staphylococcus aureus		CC5
GCF_003073395.1	Staphylococcus aureus		CIT
GCF_003073415.1	Staphylococcus aureus		CAR
GCF_003073435.1	Staphylococcus aureus		OXLIM
GCF_003073635.1	Staphylococcus aureus		AR466
GCF_003073655.1	Staphylococcus aureus		AR465
GCF_003073715.1	Staphylococcus aureus		AR461
GCF_003073755.1	Staphylococcus aureus		AR464
GCF_003073775.1	Staphylococcus aureus		AR462
GCF_003111725.1	Staphylococcus aureus		SVH7513
GCF_003111745.1	Staphylococcus aureus		PTDrAP2
GCF_003184985.1	Staphylococcus aureus		IT1-S
GCF_003185005.1	Staphylococcus aureus		IT4-R
GCF_003186105.1	Staphylococcus aureus		MOK063
GCF_003186125.1	Staphylococcus aureus		MOK042
GCF_003193665.1	Staphylococcus aureus		AR_0472
GCF_003193685.1	Staphylococcus aureus		AR_0223
GCF_003193705.1	Staphylococcus aureus		AR_0219
GCF_003193725.1	Staphylococcus aureus		AR_0216
GCF_003193745.1	Staphylococcus aureus		AR_0470
GCF_003193765.1	Staphylococcus aureus		AR_0471
GCF_003193785.1	Staphylococcus aureus		AR_0473
GCF_003193885.1	Staphylococcus aureus		AR_0467
GCF_003193965.1	Staphylococcus aureus		AR_0225
GCF_003194005.1	Staphylococcus aureus		AR_0469
GCF_003194025.1	Staphylococcus aureus		AR_0215
GCF_003194065.1	Staphylococcus aureus		080880048-3
GCF_003194105.1	Staphylococcus aureus		13420
