assembly_accession	species	subsp	strain
GCF_000019565.1	Klebsiella variicola		342
GCF_000812205.2	Klebsiella variicola		DX120E
GCF_000828055.2	Klebsiella variicola		DSM 15968
GCF_000941635.2	Klebsiella variicola		8917
GCF_001969305.1	Klebsiella variicola		LMG 23571
GCF_001989495.1	Klebsiella variicola		GJ1
GCF_001989515.1	Klebsiella variicola		GJ2
GCF_001989535.1	Klebsiella variicola		GJ3
GCF_002156765.1	Klebsiella variicola		KPN1481
GCF_002164805.3	Klebsiella variicola		WCHKP19
GCF_002852915.4	Klebsiella variicola		WCHKV030666
GCF_003285185.1	Klebsiella variicola		13450
GCF_003290425.1	Klebsiella variicola		E57-7
GCF_003429625.1	Klebsiella variicola		X39
GCF_004014895.1	Klebsiella variicola		15WZ-82
GCF_008693465.1	Klebsiella variicola		FDAARGOS_627
GCF_009497715.1	Klebsiella variicola		13450
GCF_011784425.1	Klebsiella variicola		AHKv-S01
GCF_012273075.1	Klebsiella variicola		FDAARGOS_628
GCF_013305245.1	Klebsiella variicola		FH-1
GCF_013728275.1	Klebsiella variicola		RHBSTW-00883
GCF_014217415.1	Klebsiella variicola		GN02
GCF_014489395.1	Klebsiella variicola		KP2757
GCF_015278015.1	Klebsiella variicola		M142-3
GCF_015285645.1	Klebsiella variicola		BS375-3
GCF_015286005.1	Klebsiella variicola		BS326-1
GCF_015286725.1	Klebsiella variicola		M186-1
GCF_015286965.1	Klebsiella variicola		BS325-2
GCF_015287155.1	Klebsiella variicola		BS359-2-1
GCF_015287805.1	Klebsiella variicola		BM374-1
GCF_015288045.1	Klebsiella variicola		M186-1-2
GCF_015288445.1	Klebsiella variicola		BM366-1
GCF_015288785.1	Klebsiella variicola		S187-1
GCF_015289325.1	Klebsiella variicola		BS369-2
GCF_015290365.1	Klebsiella variicola		S129-1
GCF_015290565.1	Klebsiella variicola		S131-2
GCF_015694045.1	Klebsiella variicola		KPN029
GCF_017638945.1	Klebsiella variicola		F2R9
GCF_017639085.1	Klebsiella variicola		E25
GCF_018324045.1	Klebsiella variicola		JCM 12419
GCF_900622585.1	Klebsiella variicola		AJ055
GCF_900622595.1	Klebsiella variicola		AJ292
GCF_900622615.1	Klebsiella variicola		04153260899A
GCF_900622625.1	Klebsiella variicola		03-311-0071
GCF_900636185.1	Klebsiella variicola		NCTC9668
GCF_000025465.1	Klebsiella variicola		At-22
