assembly_accession	species	subsp	strain
GCF_001704215.1	Bordetella holmesii		H903
GCF_002859845.1	Bordetella holmesii		F613
GCF_002859865.1	Bordetella holmesii		F616
GCF_002859885.1	Bordetella holmesii		F621
GCF_002859905.1	Bordetella holmesii		F617
GCF_002859945.1	Bordetella holmesii		F626
GCF_002859985.1	Bordetella holmesii		F615
GCF_002860025.1	Bordetella holmesii		H785
GCF_003184445.1	Bordetella holmesii		F028
GCF_003186245.1	Bordetella holmesii		C690
GCF_004634545.1	Bordetella holmesii		F274
GCF_009625815.1	Bordetella holmesii		J712
GCF_009625855.1	Bordetella holmesii		J708
GCF_009626095.1	Bordetella holmesii		J312
GCF_009626475.1	Bordetella holmesii		J168
GCF_009626575.1	Bordetella holmesii		J102
GCF_009626815.1	Bordetella holmesii		I265
GCF_009626895.1	Bordetella holmesii		I100
GCF_009626915.1	Bordetella holmesii		H869
GCF_009626935.1	Bordetella holmesii		H863
GCF_009626955.1	Bordetella holmesii		H862
GCF_009626995.1	Bordetella holmesii		H808
GCF_009627015.1	Bordetella holmesii		H807
GCF_009627035.1	Bordetella holmesii		H719
GCF_009627075.1	Bordetella holmesii		H713
GCF_009627095.1	Bordetella holmesii		H641
GCF_009627115.1	Bordetella holmesii		H635
GCF_009627135.1	Bordetella holmesii		H629
GCF_009627155.1	Bordetella holmesii		H628
GCF_009627175.1	Bordetella holmesii		H619
GCF_009627195.1	Bordetella holmesii		H620
GCF_009627215.1	Bordetella holmesii		H610
GCF_009627275.1	Bordetella holmesii		H572
GCF_009627295.1	Bordetella holmesii		H557
GCF_009627375.1	Bordetella holmesii		H400
GCF_009627395.1	Bordetella holmesii		H387
GCF_009627415.1	Bordetella holmesii		H385
GCF_009627435.1	Bordetella holmesii		H370
GCF_009627455.1	Bordetella holmesii		H359
GCF_009627475.1	Bordetella holmesii		H336
GCF_009627515.1	Bordetella holmesii		H319
GCF_009627535.1	Bordetella holmesii		H318
GCF_009627575.1	Bordetella holmesii		H250
GCF_009627595.1	Bordetella holmesii		H249
GCF_009627615.1	Bordetella holmesii		H248
GCF_009627655.1	Bordetella holmesii		H108
GCF_009627775.1	Bordetella holmesii		F595
GCF_009627795.1	Bordetella holmesii		F594
GCF_009627815.1	Bordetella holmesii		F593
GCF_009627835.1	Bordetella holmesii		F592
GCF_009627855.1	Bordetella holmesii		F590
GCF_009627895.1	Bordetella holmesii		F588
GCF_009627935.1	Bordetella holmesii		F061
GCF_009627955.1	Bordetella holmesii		F029
GCF_009627975.1	Bordetella holmesii		D130
GCF_012974165.1	Bordetella holmesii		J862
GCF_012974205.1	Bordetella holmesii		J790
GCF_016804285.1	Bordetella holmesii		H558
GCF_017357145.1	Bordetella holmesii		CIDM-BH3
GCF_000341465.2	Bordetella holmesii		F627
GCF_000341485.2	Bordetella holmesii		H558
