assembly_accession	species	subsp	strain
GCF_000635895.2	Bacillus cereus		A1
GCF_000789315.1	Bacillus cereus		03BB87
GCF_000832525.1	Bacillus cereus		FM1
GCF_000832765.1	Bacillus cereus		3a
GCF_000835185.1	Bacillus cereus		S2-8
GCF_000978375.1	Bacillus cereus		FORC_005
GCF_001277915.1	Bacillus cereus		NJ-W
GCF_001518875.1	Bacillus cereus		FORC_013
GCF_001635915.1	Bacillus cereus		CMCC P0021
GCF_001635955.1	Bacillus cereus		CMCC P0011
GCF_001635995.1	Bacillus cereus		HN001
GCF_001721145.1	Bacillus cereus		FORC_024
GCF_001880305.1	Bacillus cereus		AR156
GCF_001941885.1	Bacillus cereus		ISSFR-9F
GCF_001941905.1	Bacillus cereus		ISSFR-3F
GCF_001941925.1	Bacillus cereus		JEM-2
GCF_002000005.1	Bacillus cereus		FORC021
GCF_002117465.1	Bacillus cereus		BC-AK
GCF_002214705.1	Bacillus cereus		D12_2
GCF_002214725.1	Bacillus cereus		M3
GCF_002214765.1	Bacillus cereus		FORC_048
GCF_002215175.1	Bacillus cereus		K8
GCF_002216125.1	Bacillus cereus		M13
GCF_002220285.1	Bacillus cereus		FORC_047
GCF_002290105.1	Bacillus cereus		CC-1
GCF_002813875.1	Bacillus cereus		MLY1
GCF_003013315.1	Bacillus cereus		TG1-6
GCF_003020845.1	Bacillus cereus		FORC60
GCF_003568565.1	Bacillus cereus		HBL-AI
GCF_004006495.1	Bacillus cereus		ZB201708
GCF_004771155.1	Bacillus cereus		1000305
GCF_004801195.1	Bacillus cereus		MH19
GCF_005707595.1	Bacillus cereus		FORC_086
GCF_006384875.1	Bacillus cereus		FORC087
GCF_008041975.1	Bacillus cereus		G1-1
GCF_009497015.2	Bacillus cereus		SB1
GCF_009739925.1	Bacillus cereus		DLOU-Changhai
GCF_009739965.1	Bacillus cereus		DLOU-Tangshan
GCF_009739985.1	Bacillus cereus		DLOU-Weihai
GCF_010223795.1	Bacillus cereus		SGAir0263
GCF_010232525.2	Bacillus cereus		SGAir0260
GCF_013112375.1	Bacillus cereus		WPySW2
GCF_013177495.2	Bacillus cereus		CTMA_1571
GCF_013267235.1	Bacillus cereus		FDAARGOS_802
GCF_013267255.1	Bacillus cereus		FDAARGOS_799
GCF_013267275.1	Bacillus cereus		FDAARGOS_798
GCF_013267455.1	Bacillus cereus		FDAARGOS_781
GCF_013267475.1	Bacillus cereus		FDAARGOS_780
GCF_013267775.1	Bacillus cereus		FDAARGOS_797
GCF_013394245.1	Bacillus cereus		H2
GCF_016027015.1	Bacillus cereus		FDAARGOS_918
GCF_016117775.1	Bacillus cereus		FDAARGOS_919
GCF_016727405.1	Bacillus cereus		FDAARGOS_1084
GCF_016774535.1	Bacillus cereus		CH
GCF_016774555.1	Bacillus cereus		21155
GCF_016774575.1	Bacillus cereus		AFA01
GCF_016917795.1	Bacillus cereus		VKM B-370
GCF_018309125.1	Bacillus cereus		BC06
GCF_018309145.1	Bacillus cereus		BC07
GCF_018309165.1	Bacillus cereus		BC33
GCF_000008005.1	Bacillus cereus		ATCC 10987
GCF_000007825.1	Bacillus cereus		ATCC 14579
GCF_006094295.1	Bacillus cereus		ATCC 14579
GCF_000832805.1	Bacillus cereus		G9241
GCF_000011625.1	Bacillus cereus		E33L
GCF_000833045.1	Bacillus cereus		E33L
GCF_000283675.1	Bacillus cereus		NC7401
GCF_000239195.1	Bacillus cereus		F837/76
GCF_000013065.1	Bacillus cereus		Q1
GCF_000021305.1	Bacillus cereus		G9842
GCF_000021205.1	Bacillus cereus		B4264
GCF_000021225.1	Bacillus cereus		AH187
GCF_000021785.1	Bacillus cereus		AH820
GCF_000832865.1	Bacillus cereus		03BB108
GCF_000161035.1	Bacillus cereus		m1550
GCF_000160915.1	Bacillus cereus		BGSC 6E1
GCF_000161015.1	Bacillus cereus		ATCC 4342
GCF_000832845.1	Bacillus cereus		ATCC 4342
GCF_000161115.1	Bacillus cereus		BDRD-Cer4
GCF_000161375.1	Bacillus cereus		AH1271
GCF_000022505.1	Bacillus cereus		03BB102
GCF_000832405.1	Bacillus cereus		03BB102
GCF_000143605.1	Bacillus cereus		biovar anthracis str. CI
GCF_002224345.1	Bacillus cereus		C1L
GCF_000338315.1	Bacillus cereus		F
GCF_000292415.1	Bacillus cereus		FRI-35
GCF_000832385.1	Bacillus cereus		D17
