assembly_accession	species	subsp	strain
GCF_001047225.1	Neisseria gonorrhoeae		FA19
GCF_001047255.1	Neisseria gonorrhoeae		FA6140
GCF_001047275.1	Neisseria gonorrhoeae		35/02
GCF_001661085.1	Neisseria gonorrhoeae		32867
GCF_001661115.1	Neisseria gonorrhoeae		34530
GCF_001661135.1	Neisseria gonorrhoeae		34769
GCF_002073535.2	Neisseria gonorrhoeae		FDAARGOS_204
GCF_002073615.2	Neisseria gonorrhoeae		FDAARGOS_205
GCF_002073655.2	Neisseria gonorrhoeae		FDAARGOS_207
GCF_003571445.1	Neisseria gonorrhoeae		RIVM0610
GCF_003855175.1	Neisseria gonorrhoeae		FQ84
GCF_003855195.1	Neisseria gonorrhoeae		FQ36
GCF_003855235.1	Neisseria gonorrhoeae		FQ04
GCF_003855295.1	Neisseria gonorrhoeae		FQ35
GCF_003855355.1	Neisseria gonorrhoeae		FQ20
GCF_003855375.1	Neisseria gonorrhoeae		FQ02
GCF_003855415.1	Neisseria gonorrhoeae		FQ82
GCF_003855435.1	Neisseria gonorrhoeae		FQ01
GCF_004001105.1	Neisseria gonorrhoeae		FC428
GCF_004001165.1	Neisseria gonorrhoeae		FC460
GCF_004001185.1	Neisseria gonorrhoeae		FC498
GCF_004332535.2	Neisseria gonorrhoeae		TFG-A2
GCF_004332555.2	Neisseria gonorrhoeae		TFG-B2
GCF_007107165.1	Neisseria gonorrhoeae		NJ1711654
GCF_007107365.1	Neisseria gonorrhoeae		NJ189125
GCF_008065015.2	Neisseria gonorrhoeae		SS3160
GCF_011058635.1	Neisseria gonorrhoeae		NG290
GCF_011058655.1	Neisseria gonorrhoeae		NG251
GCF_011058675.1	Neisseria gonorrhoeae		NG196
GCF_013030055.1	Neisseria gonorrhoeae		TUM19853
GCF_013030075.1	Neisseria gonorrhoeae		TUM19854
GCF_013030095.1	Neisseria gonorrhoeae		TUM15748
GCF_013030115.1	Neisseria gonorrhoeae		TUM15753
GCF_013030135.1	Neisseria gonorrhoeae		TUM16691
GCF_014700555.1	Neisseria gonorrhoeae		BJ16148
GCF_014844815.1	Neisseria gonorrhoeae		SW0259
GCF_014844855.1	Neisseria gonorrhoeae		SW0223
GCF_014844875.1	Neisseria gonorrhoeae		SW0015
GCF_014844895.1	Neisseria gonorrhoeae		SW0032
GCF_014844915.1	Neisseria gonorrhoeae		SW0011
GCF_014844935.1	Neisseria gonorrhoeae		SW0018
GCF_014844955.1	Neisseria gonorrhoeae		SW0005
GCF_014844975.1	Neisseria gonorrhoeae		SW0002
GCF_015509285.1	Neisseria gonorrhoeae		TUM 19855
GCF_016775785.1	Neisseria gonorrhoeae		20181204
GCF_016802315.1	Neisseria gonorrhoeae		SRRSH240
GCF_016802335.1	Neisseria gonorrhoeae		SRRSH229
GCF_016802355.1	Neisseria gonorrhoeae		SRRSH214
GCF_016802385.1	Neisseria gonorrhoeae		SRRSH207
GCF_016802405.1	Neisseria gonorrhoeae		SRRSH205
GCF_016802425.1	Neisseria gonorrhoeae		SRRSH204
GCF_016802445.1	Neisseria gonorrhoeae		SRRSH203
GCF_016803895.1	Neisseria gonorrhoeae		ATCC 49226
GCF_900087615.2	Neisseria gonorrhoeae		WHO M
GCF_900087625.2	Neisseria gonorrhoeae		WHO O
GCF_900087635.2	Neisseria gonorrhoeae		WHO F
GCF_900087645.2	Neisseria gonorrhoeae		WHO_W
GCF_900087685.2	Neisseria gonorrhoeae		WHO_Y
GCF_900087715.2	Neisseria gonorrhoeae		WHO_Z
GCF_900087725.2	Neisseria gonorrhoeae		WHO N
GCF_900087735.2	Neisseria gonorrhoeae		WHO P
GCF_900087785.2	Neisseria gonorrhoeae		WHO G
GCF_900087795.2	Neisseria gonorrhoeae		WHO_V
GCF_900087815.2	Neisseria gonorrhoeae		WHO_X
GCF_900087865.2	Neisseria gonorrhoeae		WHO K
GCF_900087905.2	Neisseria gonorrhoeae		WHO_U
GCF_900186915.1	Neisseria gonorrhoeae		NCTC13800
GCF_900186935.1	Neisseria gonorrhoeae		NCTC13799
GCF_900411635.1	Neisseria gonorrhoeae		G97687
GCF_900637245.1	Neisseria gonorrhoeae		NCTC13484
GCF_000006845.1	Neisseria gonorrhoeae		FA 1090
GCF_000020105.1	Neisseria gonorrhoeae		NCCP11945
GCF_000156855.2	Neisseria gonorrhoeae		MS11
