assembly_accession	species	subsp	strain
GCF_001598635.1	Enterococcus faecalis		LD33
GCF_001878735.2	Enterococcus faecalis		L9
GCF_001886675.1	Enterococcus faecalis		L12
GCF_001931845.1	Enterococcus faecalis		AMB05
GCF_001989555.1	Enterococcus faecalis		CLB21560
GCF_002140075.1	Enterococcus faecalis		DD14
GCF_002163735.1	Enterococcus faecalis		sorialis
GCF_002289045.2	Enterococcus faecalis		H25
GCF_002355755.1	Enterococcus faecalis		W11
GCF_003030425.1	Enterococcus faecalis		FDAARGOS_324
GCF_003345275.1	Enterococcus faecalis		TY1 flatfish
GCF_003812665.1	Enterococcus faecalis		FDAARGOS_528
GCF_003966385.1	Enterococcus faecalis		KUB3006
GCF_003966405.1	Enterococcus faecalis		KUB3007
GCF_004006595.1	Enterococcus faecalis		OG1RF-SagA
GCF_004332015.1	Enterococcus faecalis		CVM N48037F
GCF_004332035.1	Enterococcus faecalis		CVM N60443F
GCF_005158025.1	Enterococcus faecalis		FC
GCF_005484525.1	Enterococcus faecalis		SGAir0397
GCF_005979285.1	Enterococcus faecalis		C25
GCF_005979305.1	Enterococcus faecalis		C54
GCF_006349345.1	Enterococcus faecalis		HA-1
GCF_006494835.1	Enterococcus faecalis		VE14089
GCF_006494855.1	Enterococcus faecalis		VE18379
GCF_006494875.1	Enterococcus faecalis		VE18395
GCF_006766145.1	Enterococcus faecalis		DM01
GCF_007632055.1	Enterococcus faecalis		SCAID PHRX1-2018
GCF_009498155.1	Enterococcus faecalis		L15
GCF_009498175.3	Enterococcus faecalis		L8
GCF_009914685.2	Enterococcus faecalis		L14
GCF_011193375.1	Enterococcus faecalis		ES-1
GCF_012594215.1	Enterococcus faecalis		TH4125
GCF_013344625.1	Enterococcus faecalis		111540047-1
GCF_013344645.1	Enterococcus faecalis		111540027-2
GCF_013344665.1	Enterococcus faecalis		092160007-3
GCF_014844235.1	Enterococcus faecalis		EGM183
GCF_014893535.1	Enterococcus faecalis		UM001B
GCF_015377745.1	Enterococcus faecalis		TK-P4B
GCF_016696825.1	Enterococcus faecalis		KB1
GCF_016743895.1	Enterococcus faecalis		T90-1
GCF_016812095.1	Enterococcus faecalis		L11
GCF_017279935.1	Enterococcus faecalis		L10
GCF_017280035.1	Enterococcus faecalis		L13
GCF_017280215.1	Enterococcus faecalis		L16
GCF_017280235.1	Enterococcus faecalis		L18
GCF_017639585.1	Enterococcus faecalis		EF-2001
GCF_018138005.1	Enterococcus faecalis		L21
GCF_018138025.1	Enterococcus faecalis		L17
GCF_018517125.1	Enterococcus faecalis		18-243
GCF_900636775.1	Enterococcus faecalis		NCTC8745
GCF_901553725.1	Enterococcus faecalis		NCTC8732
GCF_902379005.2	Enterococcus faecalis		MGYG-HGUT-01694
GCF_906464835.1	Enterococcus faecalis		TM6294
GCF_906464865.1	Enterococcus faecalis		WE0438
GCF_906464875.1	Enterococcus faecalis		BX8117
GCF_906464895.1	Enterococcus faecalis		WE0851
GCF_906464925.1	Enterococcus faecalis		BX5936
GCF_000007785.1	Enterococcus faecalis		V583
GCF_000172575.2	Enterococcus faecalis		OG1RF
GCF_004006275.1	Enterococcus faecalis		OG1RF
GCF_002814115.1	Enterococcus faecalis		ARO1/DG
GCF_009662495.1	Enterococcus faecalis		R712
GCF_000391485.2	Enterococcus faecalis		EnGen0107 B594
GCF_000742975.1	Enterococcus faecalis		ATCC 29212
GCF_000281195.1	Enterococcus faecalis		D32
GCF_000317915.1	Enterococcus faecalis		str. Symbioflor 1
GCF_000550745.1	Enterococcus faecalis		DENG1
