assembly_accession	species	subsp	strain
GCF_000026605.1	Streptococcus equi	zooepidemicus	H70
GCF_009676645.1	Streptococcus equi	zooepidemicus	OH-71905
GCF_009676685.2	Streptococcus equi	zooepidemicus	TN-714097
GCF_009676725.1	Streptococcus equi	zooepidemicus	AZ-45470
GCF_015689355.1	Streptococcus equi	zooepidemicus	SEZ18
GCF_015689375.1	Streptococcus equi	zooepidemicus	SEZ25
GCF_015689395.1	Streptococcus equi	zooepidemicus	SEZ13
GCF_015689415.1	Streptococcus equi	zooepidemicus	SEZ14
GCF_015689435.1	Streptococcus equi	zooepidemicus	SEZ28
GCF_015689455.1	Streptococcus equi	zooepidemicus	SEZ33
GCF_015767555.1	Streptococcus equi	zooepidemicus	SEZ46
GCF_018140535.1	Streptococcus equi	zooepidemicus	IN-6992
GCF_900474805.1	Streptococcus equi	zooepidemicus	NCTC7022
GCF_900474875.1	Streptococcus equi	zooepidemicus	NCTC12090
GCF_900475125.1	Streptococcus equi	zooepidemicus	NCTC11606
GCF_900475295.1	Streptococcus equi	zooepidemicus	NCTC6176
GCF_900636805.1	Streptococcus equi	zooepidemicus	NCTC6180
GCF_018604585.1	Streptococcus equi	equi	489_010
GCF_018604605.1	Streptococcus equi	equi	489_005
GCF_018604625.1	Streptococcus equi	equi	489_004
GCF_018604645.1	Streptococcus equi	equi	489_002
GCF_018604665.1	Streptococcus equi	equi	470_008
GCF_018604685.1	Streptococcus equi	equi	470_007
GCF_018604705.1	Streptococcus equi	equi	470_006
GCF_018604725.1	Streptococcus equi	equi	470_003
GCF_018604745.1	Streptococcus equi	equi	470_001
GCF_000020765.1	Streptococcus equi	zooepidemicus MGCS10565	MGCS10565; ATCC BAA1716
GCF_000026585.1	Streptococcus equi	equi 4047	4047
GCF_000219765.1	Streptococcus equi	zooepidemicus ATCC 35246	ATCC 35246
GCF_000696505.1	Streptococcus equi	zooepidemicus CY	CY
