assembly_accession	species	subsp	strain
GCF_000755825.1	Burkholderia pseudomallei		BSR
GCF_000756105.1	Burkholderia pseudomallei		MSHR346
GCF_000756125.1	Burkholderia pseudomallei		Mahidol-1106a
GCF_000756145.1	Burkholderia pseudomallei		1106a
GCF_000756165.1	Burkholderia pseudomallei		MSHR1655
GCF_000757015.2	Burkholderia pseudomallei		PHLS 112
GCF_000763555.1	Burkholderia pseudomallei		BGK
GCF_000770565.1	Burkholderia pseudomallei		TSV202
GCF_000953095.1	Burkholderia pseudomallei		C1
GCF_000954175.1	Burkholderia pseudomallei		vgh07 human
GCF_000959305.1	Burkholderia pseudomallei		MSHR668
GCF_001277875.1	Burkholderia pseudomallei		vgh16R
GCF_001277895.1	Burkholderia pseudomallei		vgh16W
GCF_001277975.1	Burkholderia pseudomallei		982
GCF_001318245.1	Burkholderia pseudomallei		Bp1651
GCF_001885195.1	Burkholderia pseudomallei		VB976100
GCF_001887555.1	Burkholderia pseudomallei		Burk178-Type1
GCF_001887575.1	Burkholderia pseudomallei		Burk178-Type2
GCF_001974745.1	Burkholderia pseudomallei		MSHR6522
GCF_001975065.1	Burkholderia pseudomallei		MSHR7929
GCF_001975085.1	Burkholderia pseudomallei		MSHR6755
GCF_001975105.1	Burkholderia pseudomallei		MSHR5864
GCF_001975125.1	Burkholderia pseudomallei		MSHR4083
GCF_001975145.1	Burkholderia pseudomallei		MSHR3763
GCF_002110925.1	Burkholderia pseudomallei		2002721684
GCF_002110965.1	Burkholderia pseudomallei		2011756295
GCF_002110985.1	Burkholderia pseudomallei		2011756296
GCF_002111005.1	Burkholderia pseudomallei		2013746878
GCF_002111025.1	Burkholderia pseudomallei		2013833055
GCF_002111045.1	Burkholderia pseudomallei		3000015237
GCF_002111065.1	Burkholderia pseudomallei		2002721100
GCF_002111085.1	Burkholderia pseudomallei		2002721184
GCF_002111105.1	Burkholderia pseudomallei		2002734728
GCF_002111145.1	Burkholderia pseudomallei		2010007509
GCF_002111165.1	Burkholderia pseudomallei		2011756189
GCF_002111185.1	Burkholderia pseudomallei		2013746776
GCF_002111205.1	Burkholderia pseudomallei		2013746777
GCF_002111225.1	Burkholderia pseudomallei		2013746811
GCF_002111245.1	Burkholderia pseudomallei		2013746877
GCF_002111265.1	Burkholderia pseudomallei		2013833057
GCF_002111285.1	Burkholderia pseudomallei		3000047530
GCF_002111305.1	Burkholderia pseudomallei		3000465972
GCF_002111325.1	Burkholderia pseudomallei		2002721123
GCF_002111345.1	Burkholderia pseudomallei		2002721171
GCF_002111365.1	Burkholderia pseudomallei		2008724758
GCF_002111385.1	Burkholderia pseudomallei		3000015486
GCF_002843645.1	Burkholderia pseudomallei		MSHR1435
GCF_002860065.1	Burkholderia pseudomallei		14M0960418
GCF_003445415.1	Burkholderia pseudomallei		9
GCF_003546995.3	Burkholderia pseudomallei		H10
GCF_003547015.1	Burkholderia pseudomallei		R15
GCF_003547035.1	Burkholderia pseudomallei		D286
GCF_003547055.1	Burkholderia pseudomallei		PMC2000
GCF_003606245.1	Burkholderia pseudomallei		BPHN1
GCF_003798245.1	Burkholderia pseudomallei		FDAARGOS_593
GCF_003798265.1	Burkholderia pseudomallei		FDAARGOS_592
GCF_003798365.1	Burkholderia pseudomallei		FDAARGOS_594
GCF_003852635.1	Burkholderia pseudomallei		FDAARGOS_591
GCF_004323015.1	Burkholderia pseudomallei		BPs110
GCF_004323035.1	Burkholderia pseudomallei		BPs111
GCF_004348055.1	Burkholderia pseudomallei		BPs115
GCF_004348075.1	Burkholderia pseudomallei		BPs116
GCF_004367665.1	Burkholderia pseudomallei		BPs114
GCF_004367685.1	Burkholderia pseudomallei		BPs123
GCF_004367705.1	Burkholderia pseudomallei		BPs112 Melioidosis patient
GCF_004367725.1	Burkholderia pseudomallei		BPs133 Melioidosis patient
GCF_004526325.1	Burkholderia pseudomallei		BPs122
GCF_006542565.1	Burkholderia pseudomallei		InDRE_1Son2018
GCF_006542585.1	Burkholderia pseudomallei		InDRE_2Son2018
GCF_008728255.1	Burkholderia pseudomallei		Yap6
GCF_008728275.1	Burkholderia pseudomallei		Yap7
GCF_008728295.1	Burkholderia pseudomallei		Yap5
GCF_008728315.1	Burkholderia pseudomallei		Yap4
GCF_008728335.1	Burkholderia pseudomallei		Yap3a
GCF_008728355.1	Burkholderia pseudomallei		Yap2a
GCF_008728375.1	Burkholderia pseudomallei		Yap1
GCF_009749345.1	Burkholderia pseudomallei		B03
GCF_016864355.1	Burkholderia pseudomallei		VB29710
GCF_017378155.1	Burkholderia pseudomallei		VBM21822
GCF_017378195.1	Burkholderia pseudomallei		VBM21885
GCF_017378235.1	Burkholderia pseudomallei		VBM23831
GCF_017378275.1	Burkholderia pseudomallei		VBP399
GCF_017378355.1	Burkholderia pseudomallei		VBP21885
GCF_017378435.1	Burkholderia pseudomallei		VBP23831
GCF_018228345.1	Burkholderia pseudomallei		WC19
GCF_018228385.1	Burkholderia pseudomallei		BD5
GCF_018228525.1	Burkholderia pseudomallei		N2
GCF_018228545.1	Burkholderia pseudomallei		AW9
GCF_018228565.1	Burkholderia pseudomallei		AW17-23
GCF_018228605.1	Burkholderia pseudomallei		AW17-22
GCF_902141795.1	Burkholderia pseudomallei		UKMD286
GCF_902141805.1	Burkholderia pseudomallei		UKMH10
GCF_902141815.1	Burkholderia pseudomallei		UKMR15
GCF_902141835.1	Burkholderia pseudomallei		UKMPMC2000
GCF_000011545.1	Burkholderia pseudomallei		K96243
GCF_000959285.1	Burkholderia pseudomallei		K96243
GCF_000193455.1	Burkholderia pseudomallei		1710a
GCF_000012785.1	Burkholderia pseudomallei		1710b
GCF_000015905.1	Burkholderia pseudomallei		668
GCF_000757035.2	Burkholderia pseudomallei		Pasteur 52237
GCF_000193475.1	Burkholderia pseudomallei		1106b
GCF_000015925.1	Burkholderia pseudomallei		1106a
GCF_000959145.1	Burkholderia pseudomallei		406e 406E
GCF_000959265.1	Burkholderia pseudomallei		7894
GCF_000182585.2	Burkholderia pseudomallei		MSHR346
GCF_000756185.1	Burkholderia pseudomallei		576
GCF_000195145.1	Burkholderia pseudomallei		Bp22
GCF_000294635.1	Burkholderia pseudomallei		BPC006
GCF_000494855.1	Burkholderia pseudomallei		NCTC 13179
GCF_000511895.1	Burkholderia pseudomallei		NCTC 13178
GCF_000970935.1	Burkholderia pseudomallei		MSHR1328
GCF_000970955.1	Burkholderia pseudomallei		MSHR1079
GCF_000521645.1	Burkholderia pseudomallei		MSHR146
GCF_000959225.1	Burkholderia pseudomallei		MSHR2543
GCF_000959205.1	Burkholderia pseudomallei		MSHR491
GCF_000520895.1	Burkholderia pseudomallei		MSHR511
GCF_000959185.1	Burkholderia pseudomallei		MSHR840
GCF_000511915.1	Burkholderia pseudomallei		NAU20B-16
GCF_000764575.1	Burkholderia pseudomallei		NAU35A-3
GCF_000959345.1	Burkholderia pseudomallei		PB08298010
GCF_000583835.1	Burkholderia pseudomallei		MSHR520
GCF_000755945.1	Burkholderia pseudomallei		MSHR5858
GCF_000755925.1	Burkholderia pseudomallei		HBPUB10134a
GCF_000755905.1	Burkholderia pseudomallei		HBPUB10303a
GCF_000755965.1	Burkholderia pseudomallei		MSHR5848
GCF_000756065.1	Burkholderia pseudomallei		MSHR5855
GCF_000770495.1	Burkholderia pseudomallei		TSV 48
GCF_000770475.1	Burkholderia pseudomallei		MSHR3965
GCF_000770395.1	Burkholderia pseudomallei		MSHR62
GCF_000770415.1	Burkholderia pseudomallei		MSHR2243
GCF_000770435.1	Burkholderia pseudomallei		MSHR1153
GCF_000770515.1	Burkholderia pseudomallei		K42
GCF_000770455.1	Burkholderia pseudomallei		B03
GCF_000770535.1	Burkholderia pseudomallei		A79A
