assembly_accession	species	subsp	strain
GCF_000438605.1	Listeria monocytogenes		C1-387 BL0044
GCF_000438625.1	Listeria monocytogenes		J2-064 BL0117
GCF_000438645.1	Listeria monocytogenes		J2-031 BL0125
GCF_000438685.2	Listeria monocytogenes		N1-011A BL0003
GCF_000438705.2	Listeria monocytogenes		J1776
GCF_000438725.2	Listeria monocytogenes		J1817
GCF_000600015.1	Listeria monocytogenes		NE dc0214
GCF_000681515.1	Listeria monocytogenes		CFSAN006122
GCF_000746625.1	Listeria monocytogenes		Lm60
GCF_000800335.1	Listeria monocytogenes		NTSN
GCF_000808055.1	Listeria monocytogenes		IZSAM_Lm_hs2008
GCF_000950775.1	Listeria monocytogenes		N2306 Human listeriosis
GCF_001005925.2	Listeria monocytogenes		CFSAN008100
GCF_001005985.1	Listeria monocytogenes		CFSAN007956
GCF_001027085.1	Listeria monocytogenes		L1846
GCF_001027125.1	Listeria monocytogenes		L2625
GCF_001027165.1	Listeria monocytogenes		L2624
GCF_001027205.1	Listeria monocytogenes		L2676
GCF_001047715.1	Listeria monocytogenes		CFSAN023463
GCF_001188025.2	Listeria monocytogenes		FDAARGOS_58
GCF_001188045.2	Listeria monocytogenes		FDAARGOS_57
GCF_001188655.1	Listeria monocytogenes		LM850658
GCF_001262395.1	Listeria monocytogenes		JF5171
GCF_001454845.1	Listeria monocytogenes		WSLC 1018
GCF_001454865.1	Listeria monocytogenes		WSLC 1019
GCF_001454885.1	Listeria monocytogenes		WSLC 1020
GCF_001454925.1	Listeria monocytogenes		WSLC 1047
GCF_001483405.1	Listeria monocytogenes		Lm 3163
GCF_001483425.1	Listeria monocytogenes		Lm 3136
GCF_001483445.1	Listeria monocytogenes		Lm N1546
GCF_001513695.1	Listeria monocytogenes		IZSAM_Lm_15_17439_A144
GCF_001548585.1	Listeria monocytogenes		CFSAN023459
GCF_001548635.1	Listeria monocytogenes		CFSAN010068 MD3882
GCF_001551855.1	Listeria monocytogenes		2015TE19005-1355
GCF_001596775.2	Listeria monocytogenes		2015TE24968
GCF_001644625.1	Listeria monocytogenes		FW040025
GCF_001889585.2	Listeria monocytogenes		VIMVR081
GCF_001889645.2	Listeria monocytogenes		VIMHA007
GCF_001908335.1	Listeria monocytogenes		CFSAN029793
GCF_001913195.1	Listeria monocytogenes		HPB913
GCF_001952735.1	Listeria monocytogenes		HPB2088
GCF_001952755.1	Listeria monocytogenes		HPB5415
