assembly_accession	species	subsp	strain
GCF_001022015.1	Enterobacter hormaechei		CAV1311
GCF_001022055.1	Enterobacter hormaechei		CAV1668
GCF_001022075.1	Enterobacter hormaechei		CAV1411
GCF_001022255.1	Enterobacter hormaechei		CAV1669
GCF_001874505.1	Enterobacter hormaechei		CAV1176
GCF_002237465.1	Enterobacter hormaechei		MS7884A
GCF_003051945.2	Enterobacter hormaechei		SCEH020042
GCF_003073995.1	Enterobacter hormaechei		AR432
GCF_003186415.1	Enterobacter hormaechei		234
GCF_003186565.1	Enterobacter hormaechei		388
GCF_003408555.1	Enterobacter hormaechei		2013_1a
GCF_003408575.1	Enterobacter hormaechei		N1
GCF_003408595.1	Enterobacter hormaechei		A1
GCF_003428425.1	Enterobacter hormaechei		WCHEH020038
GCF_003444755.1	Enterobacter hormaechei		FRM
GCF_003660125.1	Enterobacter hormaechei		C15117
GCF_003965345.2	Enterobacter hormaechei		WCHEH090011
GCF_004118875.1	Enterobacter hormaechei		S11_16
GCF_008123985.1	Enterobacter hormaechei		PG20180056
GCF_008124025.1	Enterobacter hormaechei		PG20180049
GCF_008505035.1	Enterobacter hormaechei		EB_P6_L3_02.19
GCF_008693905.1	Enterobacter hormaechei		FDAARGOS_642
GCF_008931325.1	Enterobacter hormaechei		C44
GCF_008931405.1	Enterobacter hormaechei		C15
GCF_008931525.1	Enterobacter hormaechei		E5
GCF_008931585.1	Enterobacter hormaechei		C4
GCF_008931645.1	Enterobacter hormaechei		C45
GCF_008931785.1	Enterobacter hormaechei		EB_P9_L5_03.19
GCF_009497055.1	Enterobacter hormaechei		AUH-ENM30
GCF_009728975.1	Enterobacter hormaechei		E70
GCF_009738085.1	Enterobacter hormaechei		L51
GCF_009905155.1	Enterobacter hormaechei		F2
GCF_009930835.1	Enterobacter hormaechei		BW
GCF_011044215.1	Enterobacter hormaechei		Y233
GCF_011045335.1	Enterobacter hormaechei		Y323
GCF_011045355.1	Enterobacter hormaechei		Y2152
GCF_012562255.1	Enterobacter hormaechei		AMS-38
GCF_013046845.1	Enterobacter hormaechei		EGYMCRVIM
GCF_013624605.1	Enterobacter hormaechei		RHBSTW-00140
GCF_013624995.1	Enterobacter hormaechei		RHBSTW-00133
GCF_013625115.1	Enterobacter hormaechei		RHBSTW-00114
GCF_013625265.1	Enterobacter hormaechei		RHBSTW-00105
GCF_013625435.1	Enterobacter hormaechei		RHBSTW-00086
GCF_013625575.1	Enterobacter hormaechei		RHBSTW-00083
GCF_013625795.1	Enterobacter hormaechei		RHBSTW-00070
GCF_013629235.1	Enterobacter hormaechei		RHBSTW-00059
GCF_013629455.1	Enterobacter hormaechei		RHBSTW-00056
GCF_013629675.1	Enterobacter hormaechei		RHBSTW-00040
GCF_013635255.1	Enterobacter hormaechei		RHBSTW-00016
GCF_013635495.1	Enterobacter hormaechei		RHBSTW-00012
GCF_013707135.1	Enterobacter hormaechei		RHBSTW-00211
GCF_013708455.1	Enterobacter hormaechei		RHBSTW-00101
GCF_013726395.1	Enterobacter hormaechei		RHBSTW-00916
GCF_013731155.1	Enterobacter hormaechei		RHBSTW-00844
GCF_013734915.1	Enterobacter hormaechei		RHBSTW-00626
GCF_013738375.1	Enterobacter hormaechei		RHBSTW-00333
GCF_013739595.1	Enterobacter hormaechei		RHBSTW-00668
GCF_013740655.1	Enterobacter hormaechei		RHBSTW-00492
GCF_013742375.1	Enterobacter hormaechei		RHBSTW-00316
GCF_013743295.1	Enterobacter hormaechei		RHBSTW-00220
GCF_013743935.1	Enterobacter hormaechei		RHBSTW-00216
GCF_013744415.1	Enterobacter hormaechei		RHBSTW-00198
GCF_013747035.1	Enterobacter hormaechei		RHBSTW-00564
GCF_013873515.1	Enterobacter hormaechei		ENCL48880
GCF_013873655.1	Enterobacter hormaechei		ENCL48212
GCF_013873945.1	Enterobacter hormaechei		ENCL49790
GCF_014109705.1	Enterobacter hormaechei		CEent1
GCF_014117285.1	Enterobacter hormaechei		ZHH
GCF_014333255.1	Enterobacter hormaechei		UCI173
GCF_014333275.1	Enterobacter hormaechei		UCI161
GCF_014771415.1	Enterobacter hormaechei		NJGLYY90-CR
GCF_015137995.1	Enterobacter hormaechei		STN0717-64
GCF_015238615.1	Enterobacter hormaechei		189
GCF_015535055.1	Enterobacter hormaechei		3804
GCF_015910205.1	Enterobacter hormaechei		Eho-E2
GCF_015910225.1	Enterobacter hormaechei		Eho-11
GCF_015910245.1	Enterobacter hormaechei		Eho-6
GCF_015910265.1	Enterobacter hormaechei		Eho-5
GCF_015910285.1	Enterobacter hormaechei		Eho-4
GCF_015910305.1	Enterobacter hormaechei		Eho-3
GCF_015910325.1	Enterobacter hormaechei		Eho-E4
GCF_015910345.1	Enterobacter hormaechei		Eho-E3
GCF_015910365.1	Enterobacter hormaechei		Eho-2
GCF_015910385.1	Enterobacter hormaechei		Eho-1
GCF_015910425.1	Enterobacter hormaechei		Eho-10
GCF_016126855.1	Enterobacter hormaechei		MSB1_8J
GCF_016725825.1	Enterobacter hormaechei		FDAARGOS_1078
GCF_016745355.1	Enterobacter hormaechei		1575
GCF_016767735.1	Enterobacter hormaechei		CM18-216
GCF_016767755.1	Enterobacter hormaechei		CM18-242-2
GCF_016864035.1	Enterobacter hormaechei		14102KSN
GCF_016864135.1	Enterobacter hormaechei		14280161202
GCF_016864155.1	Enterobacter hormaechei		14320055602
GCF_016939555.1	Enterobacter hormaechei		EC48293
GCF_017161725.1	Enterobacter hormaechei		RIVM_C034177
GCF_017161745.1	Enterobacter hormaechei		RIVM_C019072
GCF_017161765.1	Enterobacter hormaechei		RIVM_C010068
GCF_017161785.1	Enterobacter hormaechei		RIVM_C017238
GCF_017161805.1	Enterobacter hormaechei		RIVM_C033144
GCF_017161825.1	Enterobacter hormaechei		RIVM_C019181
GCF_017161845.1	Enterobacter hormaechei		RIVM_C017834
GCF_017161865.1	Enterobacter hormaechei		RIVM_C012369
GCF_017310485.1	Enterobacter hormaechei		IR5283
GCF_018255815.1	Enterobacter hormaechei		SH19PTE2
GCF_900497145.1	Enterobacter hormaechei		EC-TO80
GCF_900635705.1	Enterobacter hormaechei		NCTC11571
GCF_000807425.2	Enterobacter hormaechei	steigerwaltii	34998
GCF_000814125.3	Enterobacter hormaechei	steigerwaltii	34977
GCF_001729725.1	Enterobacter hormaechei	steigerwaltii	DSM 16691
GCF_007556795.1	Enterobacter hormaechei	steigerwaltii	ME-1
GCF_015535675.1	Enterobacter hormaechei	steigerwaltii	BD-50-Eh
GCF_900322715.1	Enterobacter hormaechei	steigerwaltii	C309
GCF_000814205.1	Enterobacter hormaechei	hormaechei	34983
GCF_000807405.2	Enterobacter hormaechei	xiangfangensis	34978
GCF_000814225.1	Enterobacter hormaechei	xiangfangensis	34399
GCF_001729785.1	Enterobacter hormaechei	xiangfangensis	LMG27195
GCF_003254805.1	Enterobacter hormaechei	xiangfangensis	Pb204
GCF_003382725.1	Enterobacter hormaechei	xiangfangensis	OSUVMCKPC4-2
GCF_003586025.1	Enterobacter hormaechei	xiangfangensis	OSUKPC4_L
GCF_003964795.2	Enterobacter hormaechei	xiangfangensis	WCHEX045001
GCF_014931695.1	Enterobacter hormaechei	xiangfangensis	Ec61
GCF_000750275.1	Enterobacter hormaechei	hoffmannii ECR091	ECR091
GCF_000750225.1	Enterobacter hormaechei	hoffmannii ECNIH3	ECNIH3
GCF_001729745.1	Enterobacter hormaechei	hoffmannii	DSM 14563
GCF_002968455.1	Enterobacter hormaechei	hoffmannii	AR_0365
GCF_009834325.1	Enterobacter hormaechei	hoffmannii	Eh1
GCF_010319625.1	Enterobacter hormaechei	hoffmannii	OIPH-N069
