assembly_accession	species	subsp	strain
GCF_000746665.1	Vibrio vulnificus		93U204
GCF_001433435.1	Vibrio vulnificus		FORC_009
GCF_001558515.2	Vibrio vulnificus		FDAARGOS_119
GCF_001653775.1	Vibrio vulnificus		FORC_016
GCF_001675245.1	Vibrio vulnificus		FORC_017
GCF_002204915.1	Vibrio vulnificus		FORC_037
GCF_002215135.1	Vibrio vulnificus		CECT 4999
GCF_002850455.1	Vibrio vulnificus		VV2014DJH
GCF_002863725.1	Vibrio vulnificus		FORC_054
GCF_003522555.1	Vibrio vulnificus		FORC_053
GCF_004319645.1	Vibrio vulnificus		FORC_077
GCF_004355205.1	Vibrio vulnificus		CMCP6
GCF_009665455.1	Vibrio vulnificus		2009V-1035
GCF_009665475.1	Vibrio vulnificus		2142-77
GCF_009764095.1	Vibrio vulnificus		06-2410
GCF_009764115.1	Vibrio vulnificus		07-2444
GCF_012275045.1	Vibrio vulnificus		1676-80
GCF_014107515.1	Vibrio vulnificus		Vv180806
GCF_014211935.1	Vibrio vulnificus		2497-87
GCF_000009745.1	Vibrio vulnificus		YJ016
GCF_000039765.1	Vibrio vulnificus		CMCP6
GCF_000342305.2	Vibrio vulnificus		VVyb1(BT3)
GCF_000186585.1	Vibrio vulnificus		MO6-24/O
GCF_002224265.1	Vibrio vulnificus		NBRC 15645 = ATCC 27562
GCF_003047125.1	Vibrio vulnificus		Env1
