assembly_accession	species	subsp	strain
GCF_000783755.2	Citrobacter freundii		FDAARGOS_73
GCF_000783995.2	Citrobacter freundii		FDAARGOS_61
GCF_001022155.1	Citrobacter freundii		CAV1321
GCF_001022275.1	Citrobacter freundii		CAV1741
GCF_001702455.1	Citrobacter freundii		B38
GCF_001718055.1	Citrobacter freundii		SL151
GCF_001922445.1	Citrobacter freundii		BD
GCF_002211705.1	Citrobacter freundii		705SK3
GCF_002215385.1	Citrobacter freundii		18-1
GCF_002786865.1	Citrobacter freundii		CRCB-101
GCF_002796485.1	Citrobacter freundii		AR_0021
GCF_002796505.1	Citrobacter freundii		AR_0022
GCF_002946635.1	Citrobacter freundii		AR_0023
GCF_003019835.1	Citrobacter freundii		B9-C2
GCF_003571565.1	Citrobacter freundii		AR_0116
GCF_003665535.1	Citrobacter freundii		UMH19
GCF_003665595.1	Citrobacter freundii		UMH15
GCF_003665615.1	Citrobacter freundii		UMH14
GCF_003665635.1	Citrobacter freundii		UMH13
GCF_003665655.1	Citrobacter freundii		HM38
GCF_003665675.1	Citrobacter freundii		UMH16
GCF_003812325.1	Citrobacter freundii		FDAARGOS_550
GCF_003812345.1	Citrobacter freundii		FDAARGOS_549
GCF_004103775.1	Citrobacter freundii		R17
GCF_004344985.1	Citrobacter freundii		CAV1857
GCF_004792475.1	Citrobacter freundii		Upstream_1
GCF_005960425.1	Citrobacter freundii		R47
GCF_008931485.1	Citrobacter freundii		C50
GCF_008931625.1	Citrobacter freundii		E11
GCF_008931685.1	Citrobacter freundii		E51
GCF_009664045.1	Citrobacter freundii		565
GCF_009664065.1	Citrobacter freundii		680
GCF_009856695.1	Citrobacter freundii		LDL3-3
GCF_009857035.1	Citrobacter freundii		L75
GCF_010365585.1	Citrobacter freundii		62
GCF_012955545.1	Citrobacter freundii		SCAID PHRX1-2019
GCF_013085885.1	Citrobacter freundii		CitB
GCF_013371705.1	Citrobacter freundii		ZY198
GCF_013389635.1	Citrobacter freundii		M92
GCF_013390245.1	Citrobacter freundii		111
GCF_013589875.1	Citrobacter freundii		RHBSTW-00110
GCF_013590555.1	Citrobacter freundii		RHBSTW-00084
GCF_013604545.1	Citrobacter freundii		RHBSTW-00862
GCF_013612875.1	Citrobacter freundii		RHBSTW-00398
GCF_013614655.1	Citrobacter freundii		RHBSTW-00200
GCF_013705425.1	Citrobacter freundii		RHBSTW-00488
GCF_013706575.1	Citrobacter freundii		RHBSTW-00269
GCF_013707835.1	Citrobacter freundii		RHBSTW-00153
GCF_013724765.1	Citrobacter freundii		RHBSTW-00965
GCF_013724985.1	Citrobacter freundii		RHBSTW-00968
GCF_013725165.1	Citrobacter freundii		RHBSTW-00942
GCF_013725595.1	Citrobacter freundii		RHBSTW-00935
GCF_013726215.1	Citrobacter freundii		RHBSTW-00923
GCF_013726615.1	Citrobacter freundii		RHBSTW-00915
GCF_013727455.1	Citrobacter freundii		RHBSTW-00902
GCF_013729995.1	Citrobacter freundii		RHBSTW-00858
GCF_013730455.1	Citrobacter freundii		RHBSTW-00857
GCF_013731955.1	Citrobacter freundii		RHBSTW-00830
GCF_013738135.1	Citrobacter freundii		RHBSTW-00355
GCF_013738635.1	Citrobacter freundii		RHBSTW-00697
GCF_013739375.1	Citrobacter freundii		RHBSTW-00658
GCF_013740875.1	Citrobacter freundii		RHBSTW-00444
GCF_013741395.1	Citrobacter freundii		RHBSTW-00370
GCF_013743055.1	Citrobacter freundii		RHBSTW-00302
GCF_013745755.1	Citrobacter freundii		RHBSTW-00714
GCF_013748235.1	Citrobacter freundii		RHBSTW-00486
GCF_013748855.1	Citrobacter freundii		RHBSTW-00449
GCF_013749535.1	Citrobacter freundii		RHBSTW-00435
GCF_013751655.1	Citrobacter freundii		RHBSTW-00350
GCF_013751895.1	Citrobacter freundii		RHBSTW-00342
GCF_013781965.1	Citrobacter freundii		RHBSTW-01016
GCF_013782845.1	Citrobacter freundii		RHBSTW-00985
GCF_013784225.1	Citrobacter freundii		RHBSTW-00589
GCF_013784645.1	Citrobacter freundii		RHBSTW-00502
GCF_013785085.1	Citrobacter freundii		RHBSTW-00477
GCF_013785525.1	Citrobacter freundii		RHBSTW-00408
GCF_013786025.1	Citrobacter freundii		RHBSTW-00334
GCF_013786145.1	Citrobacter freundii		RHBSTW-00310
GCF_013786205.1	Citrobacter freundii		RHBSTW-00267
GCF_013786565.1	Citrobacter freundii		RHBSTW-00214
GCF_013790265.1	Citrobacter freundii		RHBSTW-00162
GCF_013791065.1	Citrobacter freundii		RHBSTW-00135
GCF_013791615.1	Citrobacter freundii		RHBSTW-00126
GCF_013792125.1	Citrobacter freundii		RHBSTW-00120
GCF_013792365.1	Citrobacter freundii		RHBSTW-00119
GCF_013798115.1	Citrobacter freundii		RHBSTW-00011
GCF_013798355.1	Citrobacter freundii		RHBSTW-00006
GCF_013801705.1	Citrobacter freundii		RHB41-C16
GCF_013815045.1	Citrobacter freundii		RHB36-C06
GCF_013816335.1	Citrobacter freundii		RHB35-C22
GCF_013816655.1	Citrobacter freundii		RHB35-C18
GCF_013821695.1	Citrobacter freundii		RHB31-C16
GCF_013826265.1	Citrobacter freundii		RHB30-C04
GCF_013826505.1	Citrobacter freundii		RHB30-C03
GCF_013828645.1	Citrobacter freundii		RHB29-C07
GCF_013874155.1	Citrobacter freundii		CIFR51929
GCF_013882995.1	Citrobacter freundii		RHB24-C05
GCF_013883595.1	Citrobacter freundii		RHB24-C03
GCF_013899035.1	Citrobacter freundii		RHB14-C12
GCF_013899325.1	Citrobacter freundii		RHB12-C20
GCF_013899365.1	Citrobacter freundii		RHB12-C19
GCF_013899385.1	Citrobacter freundii		RHB12-C18
GCF_013899405.1	Citrobacter freundii		RHB12-C12
GCF_013899425.1	Citrobacter freundii		RHB12-C05
GCF_013925325.1	Citrobacter freundii		RHBSTW-00880
GCF_014170055.1	Citrobacter freundii		IDR1800045912-01-00
GCF_014189285.1	Citrobacter freundii		N18-04128
GCF_014189355.1	Citrobacter freundii		N18-04078
GCF_014189375.1	Citrobacter freundii		N18-04085
GCF_014337275.1	Citrobacter freundii		MGH279
GCF_014337295.1	Citrobacter freundii		MGH283
GCF_014337315.1	Citrobacter freundii		MGH281C
GCF_014337335.1	Citrobacter freundii		MGH281
GCF_014725915.1	Citrobacter freundii		N16-03880
GCF_015910405.1	Citrobacter freundii		Cfr-13
GCF_016939595.1	Citrobacter freundii		CF48846
GCF_016939615.1	Citrobacter freundii		CF49969
GCF_016939655.1	Citrobacter freundii		CF50935
GCF_017086505.1	Citrobacter freundii		zone4
GCF_900520335.1	Citrobacter freundii		Citrobacter freundii str. E2614
GCF_900520375.1	Citrobacter freundii		Citrobacter freundii str. U2785
GCF_902387635.1	Citrobacter freundii		MGYG-HGUT-02495
GCF_904425445.1	Citrobacter freundii		PSV
GCF_904859905.1	Citrobacter freundii		MSB1_1H-sc-2280393
GCF_011064845.1	Citrobacter freundii		ATCC 8090 = MTCC 1658 = NBRC 12681
