assembly_accession	species	subsp	strain
GCF_000783575.2	Proteus mirabilis		FDAARGOS_81
GCF_000783595.2	Proteus mirabilis		FDAARGOS_80
GCF_000783875.2	Proteus mirabilis		FDAARGOS_67
GCF_000784015.2	Proteus mirabilis		FDAARGOS_60
GCF_001281565.1	Proteus mirabilis		CYPV1
GCF_001640985.1	Proteus mirabilis		AOUC-001
GCF_002055685.1	Proteus mirabilis		AR_0059
GCF_002180115.1	Proteus mirabilis		AR_0159
GCF_002180235.1	Proteus mirabilis		AR_0155
GCF_002310875.1	Proteus mirabilis		T21
GCF_002310895.1	Proteus mirabilis		T18
GCF_002944495.1	Proteus mirabilis		BC11-24
GCF_002945235.1	Proteus mirabilis		GN2
GCF_003030945.1	Proteus mirabilis		K670
GCF_003073935.1	Proteus mirabilis		AR379
GCF_003855615.1	Proteus mirabilis		PmBC1123
GCF_003855635.1	Proteus mirabilis		PmSC1111
GCF_008041895.1	Proteus mirabilis		VAC
GCF_008195605.1	Proteus mirabilis		CRPM10
GCF_008630655.1	Proteus mirabilis		S1959
GCF_008705195.1	Proteus mirabilis		K817
GCF_009429045.2	Proteus mirabilis		CRE14IB
GCF_009684595.1	Proteus mirabilis		ENT1224
GCF_009684635.1	Proteus mirabilis		ENT1301
GCF_009684665.1	Proteus mirabilis		ENT1157
GCF_009806715.1	Proteus mirabilis		SCBX1.1
GCF_010442675.1	Proteus mirabilis		N18-00201
GCF_010692865.1	Proteus mirabilis		CC15031
GCF_011045575.1	Proteus mirabilis		1701092
GCF_011045855.1	Proteus mirabilis		ZA25
GCF_011149675.1	Proteus mirabilis		PmBR607
GCF_011383025.1	Proteus mirabilis		XH1568
GCF_011383045.1	Proteus mirabilis		XH1569
GCF_012516515.1	Proteus mirabilis		STP3
GCF_013255765.1	Proteus mirabilis		JPM24
GCF_013256075.1	Proteus mirabilis		YPM35
GCF_013343255.1	Proteus mirabilis		L90-1
GCF_013357405.1	Proteus mirabilis		MPE0734
GCF_013357425.1	Proteus mirabilis		MPE0767
GCF_013357445.1	Proteus mirabilis		S74-1(++)-2
GCF_013357465.1	Proteus mirabilis		M3-1-17
GCF_013357485.1	Proteus mirabilis		MPE0156
GCF_013357505.1	Proteus mirabilis		MPE0027
GCF_013357525.1	Proteus mirabilis		MPE4069
GCF_013357545.1	Proteus mirabilis		MPE5139
GCF_013357565.1	Proteus mirabilis		MPE5203
GCF_013357585.1	Proteus mirabilis		MPE0346
GCF_013358795.1	Proteus mirabilis		HN2p
GCF_014843115.1	Proteus mirabilis		S012
GCF_014931585.1	Proteus mirabilis		ChSC1905
GCF_015169015.1	Proteus mirabilis		Yak 2019
GCF_015693865.1	Proteus mirabilis		PmBJ015
GCF_015693965.1	Proteus mirabilis		PmBJ012
GCF_015693985.1	Proteus mirabilis		PmBJ024
GCF_015694005.1	Proteus mirabilis		PmBJ023
GCF_015694025.1	Proteus mirabilis		PmBJ020
GCF_016725905.1	Proteus mirabilis		FDAARGOS_1079
GCF_016772335.1	Proteus mirabilis		C55
GCF_016772355.1	Proteus mirabilis		C74
GCF_016939715.1	Proteus mirabilis		PM52260
GCF_016939735.1	Proteus mirabilis		PM52808
GCF_017161055.1	Proteus mirabilis		DY.F1.2
GCF_017901195.1	Proteus mirabilis		1035
GCF_018138945.1	Proteus mirabilis		N292
GCF_018138985.1	Proteus mirabilis		N639-2X
GCF_018139005.1	Proteus mirabilis		S62-3-2-2
GCF_018139105.1	Proteus mirabilis		S74-3-2
GCF_018336495.1	Proteus mirabilis		SNYG35
GCF_900635965.1	Proteus mirabilis		NCTC4199
GCF_000069965.1	Proteus mirabilis		HI4320
GCF_000444425.1	Proteus mirabilis		BB2000
