assembly_accession	seq_id	origin	terminus	repl_1_mean	repl_2_mean	c_skew_min	c_skew_max	length
GCF_000534935.2	NZ_AP018443.1	5186900	2497650	0.160106611328351	-0.1612904944194314	-2867.593225837256	41087.54585174927	5219278
GCF_000725325.1	NZ_CP008846.1	5183240	2493520	0.1600820322642005	-0.1610035248973391	-2904.2569599110343	40983.72850254995	5213498
GCF_000742655.1	NZ_CP007618.1	4020250	1515270	0.1609387998580124	-0.1641619393702904	-15868.217738948117	25254.02975762121	5236981
GCF_000742695.1	NZ_CP008752.1	266210	2989590	0.1614233068034372	-0.1641547111512777	-4519.587165399231	39442.46238018164	5229650
GCF_000742875.1	NZ_CP007704.1	3563320	840330	0.1642352737802526	-0.1614652500792601	-29638.332133783057	14328.506887627203	5230053
GCF_000831505.1	NZ_CP010813.1	5195020	2506970	0.1597957140367975	-0.1612625174107445	-2770.286552946632	41159.02077208501	5227410
GCF_000832425.1	NZ_CP009325.1	14380	2705410	0.1614165403452888	-0.1600848494881899	0.243781094527363	43672.358985537634	5221627
GCF_000832445.1	NZ_CP009328.1	4024090	1299860	0.1643441491139736	-0.1614500775639752	-21345.335164076227	22637.81151354596	5229969
GCF_000832465.1	NZ_CP009331.1	1446820	4169850	0.1614229679493248	-0.1644095205565608	-22785.562888380653	21170.760354699258	5228730
GCF_000832505.1	NZ_CP009341.1	2528610	5034530	0.1642902208504612	-0.1617187278972212	-41094.23120012978	76.02169639631758	5222171
GCF_000832565.1	NZ_CP009464.1	1095140	3818780	0.1539808256215482	-0.1643224426174482	-17010.427958101474	24928.4120975637	5230088
GCF_000832585.1	NZ_CP009476.1	2759160	282720	0.1614527664952328	-0.1639234298526163	-36380.3145975278	4214.34918899214	5200082
GCF_000832725.1	NZ_CP009700.1	2361660	5081390	0.161320870425332	-0.1646365465770077	-39054.87786710473	4820.058962990666	5210596
GCF_000832745.1	NZ_CP009697.1	3220910	499560	0.1645757218573307	-0.1612843687506951	-35355.556703738424	8535.574310627931	5213209
GCF_000832965.1	NZ_CP009902.1	1853360	4585800	0.1609552584463425	-0.1650571772225401	-30242.90003171875	13737.168631898658	5321900
GCF_000833065.1	NZ_CP009981.1	4489880	1984510	0.1614206022754153	-0.1643636135337119	-7998.836771379984	33180.67881441085	5227467
GCF_000833125.1	NZ_CP010322.1	2946510	223640	0.1643300491914381	-0.1540402009935785	-38495.12953455387	3448.446297319128	5229224
GCF_000875715.1	NZ_CP010852.1	284050	2761390	0.1641296239616732	-0.1614096376367974	-4188.758183579028	36472.09125240537	5200257
GCF_001277955.1	NZ_CP012519.1	5196640	2506510	0.159927572650309	-0.1611434122515016	-2780.045767947061	41152.85525879882	5226878
