assembly_accession	species	subsp	strain
GCF_000746605.1	Acinetobacter baumannii		AB31
GCF_000761175.1	Acinetobacter baumannii		Strain AbH12O-A2
GCF_000814345.1	Acinetobacter baumannii		6200
GCF_000820665.1	Acinetobacter baumannii		CS01
GCF_000820685.1	Acinetobacter baumannii		CR17
GCF_000828935.1	Acinetobacter baumannii		IOMTU433
GCF_000830055.1	Acinetobacter baumannii		A1
GCF_000963815.1	Acinetobacter baumannii		AB5075-UW
GCF_001026965.1	Acinetobacter baumannii		XH386
GCF_001077555.2	Acinetobacter baumannii		B8342
GCF_001077565.2	Acinetobacter baumannii		B11911
GCF_001077655.1	Acinetobacter baumannii		Ab04-mff
GCF_001077675.1	Acinetobacter baumannii		ATCC 17978-mff
GCF_001077965.2	Acinetobacter baumannii		B8300
GCF_001261895.2	Acinetobacter baumannii		R2090
GCF_001399655.1	Acinetobacter baumannii		D36
GCF_001457535.1	Acinetobacter baumannii		CIP70.10
GCF_001514375.1	Acinetobacter baumannii		KBN10P02143
GCF_001517645.1	Acinetobacter baumannii		R2091
GCF_001543995.1	Acinetobacter baumannii		YU-R612
GCF_001573065.1	Acinetobacter baumannii		XH860
GCF_001573105.1	Acinetobacter baumannii		XH857
GCF_001573125.1	Acinetobacter baumannii		XH856
GCF_001578145.1	Acinetobacter baumannii		XH858
GCF_001593425.2	Acinetobacter baumannii		ATCC 17978
GCF_001636235.1	Acinetobacter baumannii		3207
GCF_001668465.2	Acinetobacter baumannii		ABUH773
GCF_001674475.2	Acinetobacter baumannii		ABUH763
GCF_001674505.2	Acinetobacter baumannii		ABUH796
GCF_001721705.1	Acinetobacter baumannii		CA-17
GCF_001806345.1	Acinetobacter baumannii		KAB01
GCF_001806365.1	Acinetobacter baumannii		KAB02
GCF_001806405.1	Acinetobacter baumannii		KAB04
GCF_001806425.1	Acinetobacter baumannii		KAB05
GCF_001806445.1	Acinetobacter baumannii		KAB06
GCF_001806465.1	Acinetobacter baumannii		KAB07
GCF_001806485.1	Acinetobacter baumannii		KAB08
GCF_001887305.1	Acinetobacter baumannii		HRAB-85
GCF_001895125.2	Acinetobacter baumannii		OCU_Ac16a
GCF_001895985.1	Acinetobacter baumannii		AF-673
GCF_001896005.1	Acinetobacter baumannii		AF-401
GCF_001902375.1	Acinetobacter baumannii		XDR-BJ83 male patient
GCF_001922205.1	Acinetobacter baumannii		CMC-CR-MDR-Ab4
GCF_001922225.1	Acinetobacter baumannii		CMC-MDR-Ab59
GCF_001922245.1	Acinetobacter baumannii		CMC-CR-MDR-Ab66
GCF_001922425.2	Acinetobacter baumannii		11510
GCF_001941765.1	Acinetobacter baumannii		AB042
GCF_002082625.2	Acinetobacter baumannii		JBA13
GCF_002082685.1	Acinetobacter baumannii		15A34
GCF_002082725.1	Acinetobacter baumannii		USA2
GCF_002082745.1	Acinetobacter baumannii		SSA6
GCF_002082785.1	Acinetobacter baumannii		HWBA8
GCF_002082805.1	Acinetobacter baumannii		WKA02
GCF_002082825.1	Acinetobacter baumannii		USA15
GCF_002082845.1	Acinetobacter baumannii		SAA14
GCF_002082865.1	Acinetobacter baumannii		SSA12
GCF_002082885.1	Acinetobacter baumannii		SSMA17
GCF_002116925.1	Acinetobacter baumannii		ab736
GCF_002210065.1	Acinetobacter baumannii		A85
GCF_002504145.1	Acinetobacter baumannii		A1296
GCF_002741415.1	Acinetobacter baumannii		A388
GCF_002761575.1	Acinetobacter baumannii		AYP-A2
GCF_002762095.1	Acinetobacter baumannii		Ab4977
GCF_002762115.1	Acinetobacter baumannii		Ab4568
GCF_002762155.1	Acinetobacter baumannii		Ab4653
GCF_002843665.1	Acinetobacter baumannii		SMC_Paed_Ab_BL01
GCF_002902885.1	Acinetobacter baumannii		ABNIH28
GCF_002947415.1	Acinetobacter baumannii		AR_0056
GCF_002947845.1	Acinetobacter baumannii		AR_0063
GCF_002948475.1	Acinetobacter baumannii		S1, AB1A2
GCF_002950495.2	Acinetobacter baumannii		WCHAB005133
GCF_002996805.1	Acinetobacter baumannii		AR_0083
GCF_002999195.2	Acinetobacter baumannii		WCHAB005078
GCF_003006035.1	Acinetobacter baumannii		AR_0088
GCF_003010655.1	Acinetobacter baumannii		AR_0102
GCF_003010675.1	Acinetobacter baumannii		AR_0101
GCF_003029495.1	Acinetobacter baumannii		AR_0056
GCF_003181015.1	Acinetobacter baumannii		DA33098
GCF_003264255.1	Acinetobacter baumannii		XH731
GCF_003264275.1	Acinetobacter baumannii		XH386
GCF_003264295.1	Acinetobacter baumannii		XH731
GCF_003288775.1	Acinetobacter baumannii		Aba
GCF_003296225.1	Acinetobacter baumannii		DA33382
GCF_003345235.1	Acinetobacter baumannii		810CP
GCF_003431385.1	Acinetobacter baumannii		7804
GCF_003431865.1	Acinetobacter baumannii		AR_0070
GCF_003516005.1	Acinetobacter baumannii		7847
GCF_003522665.1	Acinetobacter baumannii		9201
GCF_003522705.1	Acinetobacter baumannii		10324
GCF_003522785.1	Acinetobacter baumannii		10042
GCF_003522845.1	Acinetobacter baumannii		9102
GCF_003522885.1	Acinetobacter baumannii		5845
GCF_003547115.1	Acinetobacter baumannii		AR_0052
GCF_003591615.1	Acinetobacter baumannii		XH906
GCF_003812065.1	Acinetobacter baumannii		FDAARGOS_540
GCF_003812385.1	Acinetobacter baumannii		FDAARGOS_533
GCF_003812485.1	Acinetobacter baumannii		MRSN15313
GCF_003931755.1	Acinetobacter baumannii		09A16CRGN0014
GCF_003931775.1	Acinetobacter baumannii		09A16CRGN003B
GCF_003945465.1	Acinetobacter baumannii		WPB103
GCF_003948085.2	Acinetobacter baumannii		TG31986
GCF_003948455.2	Acinetobacter baumannii		TG22653
GCF_003948535.2	Acinetobacter baumannii		TG22627
GCF_003949115.2	Acinetobacter baumannii		TG31302
GCF_003949295.2	Acinetobacter baumannii		TG60155
GCF_003949595.2	Acinetobacter baumannii		TG22182
GCF_003949725.2	Acinetobacter baumannii		TG29392
GCF_004028375.1	Acinetobacter baumannii		A52
GCF_004101685.1	Acinetobacter baumannii		11A1314CRGN088
GCF_004101705.1	Acinetobacter baumannii		11A14CRGN003
GCF_004101725.1	Acinetobacter baumannii		11A1213CRGN055
GCF_004101745.1	Acinetobacter baumannii		11A1213CRGN008
GCF_004136355.1	Acinetobacter baumannii		MDR-UNC
GCF_004194555.1	Acinetobacter baumannii		NCIMB 8209
GCF_004354125.1	Acinetobacter baumannii		AB053
GCF_004354145.1	Acinetobacter baumannii		AB046
GCF_004354165.1	Acinetobacter baumannii		AB047
GCF_004354185.1	Acinetobacter baumannii		AB048
GCF_004564095.1	Acinetobacter baumannii		LEV1449/17Ec
GCF_004564115.1	Acinetobacter baumannii		39741
GCF_004758865.1	Acinetobacter baumannii		CIAT758
GCF_004768705.1	Acinetobacter baumannii		ACN21
GCF_005280435.1	Acinetobacter baumannii		VB16141
GCF_005280675.1	Acinetobacter baumannii		SP304
GCF_005280695.1	Acinetobacter baumannii		VB33071
GCF_005280715.1	Acinetobacter baumannii		VB35575
GCF_005518095.1	Acinetobacter baumannii		P7774
GCF_005671375.1	Acinetobacter baumannii		PB364
GCF_006385075.1	Acinetobacter baumannii		11W359501
GCF_006843645.1	Acinetobacter baumannii		UPAB1
GCF_007107525.1	Acinetobacter baumannii		J9
GCF_007221455.1	Acinetobacter baumannii		A320 (RUH134)
GCF_007647215.1	Acinetobacter baumannii		MDR-CQ
GCF_008033255.2	Acinetobacter baumannii		ATCC BAA-1790
GCF_008124045.1	Acinetobacter baumannii		PG20180064
GCF_008244865.1	Acinetobacter baumannii		11A1213CRGN064
GCF_008244885.1	Acinetobacter baumannii		N13-03449
GCF_008244905.1	Acinetobacter baumannii		11A1314CRGN089
GCF_008630895.1	Acinetobacter baumannii		AB043
GCF_008632635.1	Acinetobacter baumannii		K09-14
GCF_008802935.1	Acinetobacter baumannii		CAM180-1
GCF_008807055.1	Acinetobacter baumannii		C25
GCF_008931365.1	Acinetobacter baumannii		E47
GCF_009035845.1	Acinetobacter baumannii		ATCC 19606
GCF_009428985.1	Acinetobacter baumannii		5457
GCF_009497995.1	Acinetobacter baumannii		7835
GCF_009498335.1	Acinetobacter baumannii		ABCR01
GCF_009740145.1	Acinetobacter baumannii		XL380
GCF_009759685.1	Acinetobacter baumannii		ATCC 19606
GCF_009833005.1	Acinetobacter baumannii		AbCAN2
GCF_011067065.1	Acinetobacter baumannii		ATCC 17978
GCF_012272715.1	Acinetobacter baumannii		DT-Ab057
GCF_012272735.1	Acinetobacter baumannii		DT-Ab022
GCF_012272755.1	Acinetobacter baumannii		DT-Ab020
GCF_012272795.1	Acinetobacter baumannii		DT-Ab003
GCF_012931605.1	Acinetobacter baumannii		Ab-C102
GCF_012931625.1	Acinetobacter baumannii		Ab-D10a-a
GCF_012931645.1	Acinetobacter baumannii		Ab-B004d-c
GCF_012931665.1	Acinetobacter baumannii		Ab-C63
GCF_012934905.1	Acinetobacter baumannii		VB82
GCF_012934925.1	Acinetobacter baumannii		VB473
GCF_012934945.1	Acinetobacter baumannii		VB723
GCF_012934965.1	Acinetobacter baumannii		VB11737
GCF_012934985.1	Acinetobacter baumannii		VB2181
GCF_012935005.1	Acinetobacter baumannii		VB2486
GCF_012935025.1	Acinetobacter baumannii		VB2200
GCF_012935045.1	Acinetobacter baumannii		PM1912235
GCF_012935065.1	Acinetobacter baumannii		PM192696
GCF_012935105.1	Acinetobacter baumannii		PM194188
GCF_012935125.1	Acinetobacter baumannii		PM194229
GCF_012935145.1	Acinetobacter baumannii		VB7036
GCF_012935165.1	Acinetobacter baumannii		VB2139
GCF_012935185.1	Acinetobacter baumannii		VB2107
GCF_012974585.1	Acinetobacter baumannii		ABF9692
GCF_012974845.1	Acinetobacter baumannii		CUVET-MIC596
GCF_013305465.1	Acinetobacter baumannii		MS14413
GCF_013376855.2	Acinetobacter baumannii		TP1
GCF_013377175.1	Acinetobacter baumannii		A1429
GCF_013394265.1	Acinetobacter baumannii		31FS3-2
GCF_013394285.1	Acinetobacter baumannii		29FS20
GCF_013416255.1	Acinetobacter baumannii		DT0544C
GCF_013416275.1	Acinetobacter baumannii		DT01139C
GCF_014159355.1	Acinetobacter baumannii		WP4-W18-ESBL-11
GCF_014169655.1	Acinetobacter baumannii		WP8-W18-ESBL-11
GCF_014171935.1	Acinetobacter baumannii		17-84
GCF_014267385.1	Acinetobacter baumannii		XYAB2018
GCF_014322245.1	Acinetobacter baumannii		DETAB-P2
GCF_014672735.1	Acinetobacter baumannii		A118
GCF_014672755.1	Acinetobacter baumannii		ATCC 19606
GCF_014672775.1	Acinetobacter baumannii		ATCC 17978
GCF_014705785.1	Acinetobacter baumannii		CFSAN093709
GCF_014705805.1	Acinetobacter baumannii		CFSAN093710
GCF_014705825.1	Acinetobacter baumannii		CFSAN093705
GCF_014705845.1	Acinetobacter baumannii		CFSAN093706
GCF_014705865.1	Acinetobacter baumannii		CFSAN093707
GCF_014705885.1	Acinetobacter baumannii		CFSAN093708
GCF_014874575.1	Acinetobacter baumannii		AC1633
GCF_015571935.1	Acinetobacter baumannii		Res13-Abat-PEA21-P4-01-A
GCF_015870765.1	Acinetobacter baumannii		TP2
GCF_015870965.1	Acinetobacter baumannii		TP3
GCF_015910475.1	Acinetobacter baumannii		ATCC 17961
GCF_016117795.1	Acinetobacter baumannii		FDAARGOS_917
GCF_016127515.1	Acinetobacter baumannii		FDAARGOS_1036
GCF_016350005.1	Acinetobacter baumannii		G20AB011
GCF_016350065.1	Acinetobacter baumannii		G20AB010
GCF_016350085.1	Acinetobacter baumannii		G20AB007
GCF_016350105.1	Acinetobacter baumannii		G20AB009
GCF_016864335.1	Acinetobacter baumannii		AbCTX5
GCF_016864915.1	Acinetobacter baumannii		AbCTX13
GCF_016865465.1	Acinetobacter baumannii		NIPH17_0019
GCF_016903135.1	Acinetobacter baumannii		FDAARGOS_1360
GCF_016903215.1	Acinetobacter baumannii		FDAARGOS_1359
GCF_017096325.1	Acinetobacter baumannii		2018BJAB2
GCF_017096345.1	Acinetobacter baumannii		2014TJAB1
GCF_017096365.1	Acinetobacter baumannii		2018TJAB1
GCF_017096385.1	Acinetobacter baumannii		2016LNAB1
GCF_017096405.1	Acinetobacter baumannii		2018BJAB1
GCF_017096425.1	Acinetobacter baumannii		2014LNAB1
GCF_017098185.1	Acinetobacter baumannii		2016BJAB1
GCF_017098225.1	Acinetobacter baumannii		2018HBAB1
GCF_017098245.1	Acinetobacter baumannii		2018HLJAB2
GCF_017098265.1	Acinetobacter baumannii		2018HLJAB1
GCF_017639875.1	Acinetobacter baumannii		KSK1
GCF_017723975.1	Acinetobacter baumannii		KSK6
