assembly_accession	species	subsp	strain
GCF_000761115.1	Lactococcus lactis		AI06
GCF_003722255.1	Lactococcus lactis		IL6288
GCF_003722275.1	Lactococcus lactis		IL1403
GCF_004194355.1	Lactococcus lactis		SRCM103457
GCF_014334715.1	Lactococcus lactis		K_LL005
GCF_014884605.1	Lactococcus lactis		N8
GCF_016028835.1	Lactococcus lactis		FDAARGOS_865
GCF_016127135.1	Lactococcus lactis		FDAARGOS_1064
GCF_016406265.1	Lactococcus lactis		WiKim0098
GCF_000807375.1	Lactococcus lactis	lactis	S0 fresh raw milk
GCF_002078475.2	Lactococcus lactis	lactis	UC11
GCF_002078495.1	Lactococcus lactis	lactis	UC063
GCF_002078855.1	Lactococcus lactis	lactis	UL8
GCF_002078975.2	Lactococcus lactis	lactis	UC06
GCF_002078995.2	Lactococcus lactis	lactis	UC08
GCF_002804185.1	Lactococcus lactis	lactis	F44
GCF_002804285.1	Lactococcus lactis	lactis	G423
GCF_002895225.1	Lactococcus lactis	lactis	G50
GCF_003176835.1	Lactococcus lactis	lactis	14B4
GCF_013395015.3	Lactococcus lactis	lactis	G121
GCF_016952955.1	Lactococcus lactis	lactis	267
GCF_900088425.1	Lactococcus lactis	lactis	A12
GCF_002148215.1	Lactococcus lactis	lactis bv. diacetylactis	FM03
GCF_003627395.2	Lactococcus lactis	lactis bv. diacetylactis	S50
GCF_008728875.1	Lactococcus lactis	lactis bv. diacetylactis	SD96
GCF_017869415.1	Lactococcus lactis	lactis bv. diacetylactis	Ge001
GCF_000014545.1	Lactococcus lactis	cremoris SK11	SK11
GCF_000006865.1	Lactococcus lactis	lactis Il1403	IL1403
GCF_000009425.1	Lactococcus lactis	cremoris MG1363	MG1363
GCF_000025045.1	Lactococcus lactis	lactis KF147	KF147
GCF_000143205.1	Lactococcus lactis	cremoris NZ9000	NZ9000
GCF_000192705.1	Lactococcus lactis	lactis CV56	CV56
GCF_000344575.1	Lactococcus lactis	lactis IO-1	IO-1
GCF_000236475.1	Lactococcus lactis	cremoris A76	A76
GCF_000478255.1	Lactococcus lactis	lactis NCDO 2118	NCDO 2118
GCF_000468955.1	Lactococcus lactis	cremoris KW2	KW2
GCF_001856165.1	Lactococcus lactis	cremoris IBB477	IBB477
