assembly_accession	species	subsp	strain
GCF_000953275.1	Clostridioides difficile		630Derm
GCF_001577795.1	Clostridioides difficile		08ACD0030
GCF_002007885.1	Clostridioides difficile		BR81
GCF_002073735.2	Clostridioides difficile		FDAARGOS_267
GCF_002080065.1	Clostridioides difficile		630 delta erm
GCF_002234355.1	Clostridioides difficile		DH/NAP11/106/ST-42
GCF_002812585.1	Clostridioides difficile		R0104a
GCF_002812605.1	Clostridioides difficile		W0023a
GCF_002812625.1	Clostridioides difficile		W0022a
GCF_002812645.1	Clostridioides difficile		W0003a
GCF_002945415.1	Clostridioides difficile		CD-10-00484
GCF_002945515.1	Clostridioides difficile		CD-17-01474
GCF_002945665.1	Clostridioides difficile		12-00008
GCF_002945755.1	Clostridioides difficile		08-00495
GCF_002945855.1	Clostridioides difficile		12-00011
GCF_002945945.1	Clostridioides difficile		10-00071
GCF_002946035.1	Clostridioides difficile		10-00078
GCF_002946135.1	Clostridioides difficile		10-00253
GCF_002946195.1	Clostridioides difficile		09-00072
GCF_002946515.2	Clostridioides difficile		R1
GCF_002946535.2	Clostridioides difficile		R3
GCF_002946555.2	Clostridioides difficile		R2
GCF_002954015.1	Clostridioides difficile		AK
GCF_003095675.1	Clostridioides difficile		CD161
GCF_003095695.1	Clostridioides difficile		CDT4
GCF_003313545.1	Clostridioides difficile		DSM 27638
GCF_003313565.1	Clostridioides difficile		DSM 27639
GCF_003313585.1	Clostridioides difficile		DSM 27640
GCF_003456975.1	Clostridioides difficile		DSM 102859
GCF_003457015.1	Clostridioides difficile		DSM 102860
GCF_003457035.1	Clostridioides difficile		DSM 102978
GCF_003481905.1	Clostridioides difficile		DSM 29688
GCF_003481965.1	Clostridioides difficile		DSM 29632
GCF_003482035.1	Clostridioides difficile		DSM 28196
GCF_003482065.1	Clostridioides difficile		DSM 28666
GCF_003482125.1	Clostridioides difficile		DSM 28669
GCF_003482165.1	Clostridioides difficile		DSM 29020
GCF_003482225.1	Clostridioides difficile		DSM 28670
GCF_003482255.1	Clostridioides difficile		DSM 29627
GCF_003482305.1	Clostridioides difficile		DSM 29629
GCF_003482325.1	Clostridioides difficile		DSM 29637
GCF_003482345.1	Clostridioides difficile		DSM 29745
GCF_003482365.1	Clostridioides difficile		DSM 29747
GCF_003490105.1	Clostridioides difficile		DSM 28668
GCF_003597795.1	Clostridioides difficile		020688
GCF_003597815.1	Clostridioides difficile		020695
GCF_003597835.1	Clostridioides difficile		020696
GCF_003597855.1	Clostridioides difficile		020709
GCF_003597875.1	Clostridioides difficile		020477
GCF_003597895.1	Clostridioides difficile		020482
GCF_003597915.1	Clostridioides difficile		020711
GCF_003697205.1	Clostridioides difficile		CD10010
GCF_003697225.1	Clostridioides difficile		12038
GCF_003697245.1	Clostridioides difficile		CD21062
GCF_008245165.1	Clostridioides difficile		Mta-79
GCF_009362915.1	Clostridioides difficile		TW11
GCF_009730495.1	Clostridioides difficile		FDAARGOS_723
GCF_009867095.1	Clostridioides difficile		CBA7204
GCF_014236775.1	Clostridioides difficile		DSM 105001
GCF_015732535.1	Clostridioides difficile		DSM 101085
GCF_016766955.1	Clostridioides difficile		M120
GCF_016766975.1	Clostridioides difficile		CD9701
GCF_016767015.1	Clostridioides difficile		CD9301
GCF_016767035.1	Clostridioides difficile		CD9001
GCF_016767055.1	Clostridioides difficile		CD4401
GCF_016767095.1	Clostridioides difficile		CD1801
GCF_016767115.1	Clostridioides difficile		7009825
GCF_016767135.1	Clostridioides difficile		2016
GCF_018255775.1	Clostridioides difficile		2015
GCF_018603395.1	Clostridioides difficile		MT4854
GCF_018603455.1	Clostridioides difficile		MHS-156
GCF_018603475.1	Clostridioides difficile		MT5121
GCF_902386365.1	Clostridioides difficile		MGYG-HGUT-02369
GCF_000009205.2	Clostridioides difficile		630
GCF_000932055.2	Clostridioides difficile		630
GCF_000003215.1	Clostridioides difficile		QCD-66c26
GCF_000154625.1	Clostridioides difficile		QCD-63q42
GCF_000154645.1	Clostridioides difficile		QCD-76w55
GCF_000154665.1	Clostridioides difficile		QCD-97b34
GCF_000154685.1	Clostridioides difficile		QCD-37x79
GCF_000155025.1	Clostridioides difficile		ATCC 43255
GCF_000155045.1	Clostridioides difficile		CIP 107932
GCF_000085225.1	Clostridioides difficile		CD196
GCF_000027105.1	Clostridioides difficile		R20291
GCF_015732555.1	Clostridioides difficile		R20291
GCF_000210455.1	Clostridioides difficile		2007855
GCF_000211235.1	Clostridioides difficile		BI1
GCF_000210435.1	Clostridioides difficile		M120
GCF_000210415.1	Clostridioides difficile		CF5
GCF_000210395.1	Clostridioides difficile		M68
GCF_001077535.1	Clostridioides difficile		ATCC 9689 = DSM 1296
