assembly_accession	species	subsp	strain
GCF_001021995.1	Klebsiella aerogenes		CAV1320
GCF_001559215.2	Klebsiella aerogenes		FDAARGOS_152
GCF_001571545.2	Klebsiella aerogenes		G7
GCF_002591115.1	Klebsiella aerogenes		FDAARGOS_363
GCF_002796405.1	Klebsiella aerogenes		AR_0018
GCF_002796425.1	Klebsiella aerogenes		AR_0007
GCF_002796525.1	Klebsiella aerogenes		AR_0009
GCF_002948835.2	Klebsiella aerogenes		AR_0062
GCF_003546885.1	Klebsiella aerogenes		FDAARGOS_327
GCF_003812185.1	Klebsiella aerogenes		FDAARGOS_513
GCF_006874725.1	Klebsiella aerogenes		LU2
GCF_007632255.1	Klebsiella aerogenes		Ka37751
GCF_008693885.1	Klebsiella aerogenes		FDAARGOS_641
GCF_008727695.1	Klebsiella aerogenes		KA_P10_L5_03.19
GCF_008931665.1	Klebsiella aerogenes		C9
GCF_009732795.1	Klebsiella aerogenes		Y6
GCF_009732815.1	Klebsiella aerogenes		Y3
GCF_009732835.1	Klebsiella aerogenes		Y1
GCF_009909445.1	Klebsiella aerogenes		HNHF1
GCF_010509815.1	Klebsiella aerogenes		AUH-KAM-9
GCF_011067245.1	Klebsiella aerogenes		18-2341
GCF_011604725.1	Klebsiella aerogenes		035
GCF_013727635.1	Klebsiella aerogenes		RHBSTW-00898
GCF_013925105.1	Klebsiella aerogenes		RHBSTW-00938
GCF_014169215.1	Klebsiella aerogenes		WP5-W18-CRE-01
GCF_014333355.1	Klebsiella aerogenes		MGH232
GCF_016939495.1	Klebsiella aerogenes		EA46506
GCF_017742775.1	Klebsiella aerogenes		G3_AM
GCF_018278705.1	Klebsiella aerogenes		Ka30434
GCF_900636315.1	Klebsiella aerogenes		NCTC9644
GCF_900637945.1	Klebsiella aerogenes		NCTC9735
GCF_904863085.1	Klebsiella aerogenes		MINF_10B-sc-2280448
GCF_000334515.1	Klebsiella aerogenes		EA1509E
GCF_000215745.1	Klebsiella aerogenes		KCTC 2190
