assembly_accession	species	subsp	strain
GCF_001688765.2	Akkermansia muciniphila		YL44
GCF_002201495.1	Akkermansia muciniphila		YL44
GCF_003716915.1	Akkermansia muciniphila		EB-AMDK-1
GCF_003716935.1	Akkermansia muciniphila		EB-AMDK-3
GCF_003716955.1	Akkermansia muciniphila		EB-AMDK-4
GCF_003716975.1	Akkermansia muciniphila		EB-AMDK-2
GCF_004015005.1	Akkermansia muciniphila		EB-AMDK-10
GCF_004015025.1	Akkermansia muciniphila		EB-AMDK-11
GCF_004015065.1	Akkermansia muciniphila		EB-AMDK-14
GCF_004015085.1	Akkermansia muciniphila		EB-AMDK-18
GCF_004015105.1	Akkermansia muciniphila		EB-AMDK-19
GCF_004015125.1	Akkermansia muciniphila		EB-AMDK-22
GCF_004015205.1	Akkermansia muciniphila		EB-AMDK-16
GCF_004015225.1	Akkermansia muciniphila		EB-AMDK-17
GCF_004015245.1	Akkermansia muciniphila		EB-AMDK-7
GCF_004015265.1	Akkermansia muciniphila		EB-AMDK-8
GCF_004015285.1	Akkermansia muciniphila		EB-AMDK-13
GCF_004015305.1	Akkermansia muciniphila		EB-AMDK-15
GCF_004015325.1	Akkermansia muciniphila		EB-AMDK-20
GCF_004015345.1	Akkermansia muciniphila		EB-AMDK-21
GCF_004101765.1	Akkermansia muciniphila		H2
GCF_004104435.1	Akkermansia muciniphila		CBA5201
GCF_004319565.1	Akkermansia muciniphila		139
GCF_008000975.1	Akkermansia muciniphila		DSM 22959
GCF_009731575.1	Akkermansia muciniphila		JCM 30893
GCF_010223015.1	Akkermansia muciniphila		EB-AMDK-27
GCF_010223075.1	Akkermansia muciniphila		EB-AMDK-28
GCF_010223095.1	Akkermansia muciniphila		EB-AMDK-29
GCF_010223115.1	Akkermansia muciniphila		EB-AMDK-30
GCF_010223135.1	Akkermansia muciniphila		EB-AMDK-31
GCF_010223155.1	Akkermansia muciniphila		EB-AMDK-33
GCF_010223175.1	Akkermansia muciniphila		EB-AMDK-34
GCF_010223195.1	Akkermansia muciniphila		EB-AMDK-36
GCF_010223255.1	Akkermansia muciniphila		EB-AMDK-35
GCF_010223405.1	Akkermansia muciniphila		EB-AMDK-37
GCF_010223575.1	Akkermansia muciniphila		EB-AMDK-38
GCF_010229055.1	Akkermansia muciniphila		EB-AMDK-5
GCF_010229315.1	Akkermansia muciniphila		EB-AMDK-6
GCF_010229495.1	Akkermansia muciniphila		EB-AMDK-23
GCF_010229695.1	Akkermansia muciniphila		EB-AMDK-24
GCF_010229955.1	Akkermansia muciniphila		EB-AMDK-25
GCF_010230155.1	Akkermansia muciniphila		EB-AMDK-26
GCF_010230375.1	Akkermansia muciniphila		EB-AMDK-40
GCF_010230515.1	Akkermansia muciniphila		EB-AMDK-46
GCF_010230725.1	Akkermansia muciniphila		EB-AMDK-47
GCF_010230935.1	Akkermansia muciniphila		EB-AMDK-48
GCF_010231195.1	Akkermansia muciniphila		EB-AMDK-49
GCF_010231335.1	Akkermansia muciniphila		EB-AMDK-39
GCF_010509235.1	Akkermansia muciniphila		JCM 30893
GCF_014170075.1	Akkermansia muciniphila		AK32
GCF_016697425.1	Akkermansia muciniphila		YL44
GCF_017570425.1	Akkermansia muciniphila		KGMB02009
GCF_017570485.1	Akkermansia muciniphila		KGMB01989
GCF_017570505.1	Akkermansia muciniphila		KGMB01990
GCF_017570525.1	Akkermansia muciniphila		KGMB01988
GCF_018140615.1	Akkermansia muciniphila		AMUC
GCF_018336995.1	Akkermansia muciniphila		EB-AMDK-41
GCF_902387255.1	Akkermansia muciniphila		MGYG-HGUT-02454
GCF_000020225.1	Akkermansia muciniphila		ATCC BAA-835
GCF_017504145.1	Akkermansia muciniphila		ATCC BAA-835
