assembly_accession	species	subsp	strain
GCF_000691565.1	Pseudomonas putida		DLL-E4
GCF_001515585.1	Pseudomonas putida		1A00316
GCF_001630725.2	Pseudomonas putida		JQ581
GCF_001636055.1	Pseudomonas putida		PC2
GCF_001886975.1	Pseudomonas putida		PP112420
GCF_001908395.1	Pseudomonas putida		DRA525
GCF_002356095.1	Pseudomonas putida		KF715
GCF_002736045.1	Pseudomonas putida		E46
GCF_002736125.1	Pseudomonas putida		E41
GCF_003228315.1	Pseudomonas putida		JBC17
GCF_003290365.1	Pseudomonas putida		NX-1
GCF_003671955.1	Pseudomonas putida		B4
GCF_005080685.1	Pseudomonas putida		1290
GCF_007833495.1	Pseudomonas putida		B1
GCF_008605605.1	Pseudomonas putida		JYR-1
GCF_009883635.2	Pseudomonas putida		W5
GCF_009938035.1	Pseudomonas putida		TS312
GCF_013305625.1	Pseudomonas putida		15420352
GCF_013425825.1	Pseudomonas putida		BS3701
GCF_014076515.1	Pseudomonas putida		T25-27
GCF_014162535.1	Pseudomonas putida		WP8-W18-CRE-01
GCF_014169055.1	Pseudomonas putida		WP4-W18-CRE-03
GCF_014217705.1	Pseudomonas putida		MX-2
GCF_014726755.1	Pseudomonas putida		GIMC5401:PPKH-115
GCF_014764425.1	Pseudomonas putida		ZXPA-20
GCF_016406145.1	Pseudomonas putida		BR-PH17
GCF_018141045.1	Pseudomonas putida		YC-AE1
GCF_900636645.1	Pseudomonas putida		NCTC13186
GCF_000019125.1	Pseudomonas putida		GB-1
GCF_000264665.3	Pseudomonas putida		ND6
GCF_000016865.1	Pseudomonas putida		F1
GCF_000019445.1	Pseudomonas putida		W619
GCF_000183645.1	Pseudomonas putida		BIRD-1
GCF_000219705.1	Pseudomonas putida		S16
GCF_001767335.1	Pseudomonas putida		JB
GCF_000271965.2	Pseudomonas putida		SJTE-1
GCF_000412675.1	Pseudomonas putida		NBRC 14164
GCF_000495455.2	Pseudomonas putida		S12
GCF_000325725.1	Pseudomonas putida		HB3267 PC9
GCF_000410575.1	Pseudomonas putida		H8234
GCF_000498395.2	Pseudomonas putida		S13.1.2
