assembly_accession	species	subsp	strain
GCF_000953495.1	Salmonella enterica	enterica serovar Infantis	1326/28
GCF_001931555.1	Salmonella enterica	enterica serovar Infantis	FSIS1502169
GCF_001931575.1	Salmonella enterica	enterica serovar Infantis	FSIS1502916
GCF_001931595.1	Salmonella enterica	enterica serovar Infantis	N55391
GCF_001931615.1	Salmonella enterica	enterica serovar Infantis	CVM44454 2014am-3028
GCF_002863785.1	Salmonella enterica	enterica serovar Infantis	CFSAN003307
GCF_005885995.1	Salmonella enterica	enterica serovar Infantis	TR01 Mutant
GCF_005886015.1	Salmonella enterica	enterica serovar Infantis	TR01
GCF_010919335.1	Salmonella enterica	enterica serovar Infantis	119944
GCF_012223825.1	Salmonella enterica	enterica serovar Infantis	SPE100
GCF_012224005.1	Salmonella enterica	enterica serovar Infantis	SPE55
GCF_013377315.1	Salmonella enterica	enterica serovar Infantis	VNSEC003
GCF_013377335.1	Salmonella enterica	enterica serovar Infantis	VNSEC002
GCF_013377355.1	Salmonella enterica	enterica serovar Infantis	VNSEC001
GCF_009650355.1	Salmonella enterica	enterica serovar Muenchen	LG24
GCF_009650375.1	Salmonella enterica	enterica serovar Muenchen	LG25
GCF_009650395.1	Salmonella enterica	enterica serovar Muenchen	LG26
GCF_016454465.1	Salmonella enterica	enterica serovar Muenchen	CVM 22536
GCF_016454705.1	Salmonella enterica	enterica serovar Muenchen	CVM 20744
GCF_001305815.1	Salmonella enterica	enterica serovar Thompson	RM1984
GCF_001305835.1	Salmonella enterica	enterica serovar Thompson	RM1986
GCF_001953015.1	Salmonella enterica	enterica serovar Thompson	ATCC BAA-1738
GCF_003052785.2	Salmonella enterica	enterica serovar Thompson	HFCDC-SM-846
GCF_003902395.1	Salmonella enterica	enterica serovar Thompson	7 CFSAN047352
GCF_006516995.1	Salmonella enterica	enterica serovar Thompson	SH11G0791
GCF_003606225.1	Salmonella enterica	enterica serovar Pullorum	QJ-2D-Sal
GCF_001188125.2	Salmonella enterica	enterica serovar Heidelberg	FDAARGOS_54
GCF_001441205.1	Salmonella enterica	enterica serovar Heidelberg	SA02DT10168701
GCF_001441225.1	Salmonella enterica	enterica serovar Heidelberg	12-4374
GCF_001441245.1	Salmonella enterica	enterica serovar Heidelberg	N13-01290
GCF_001689935.1	Salmonella enterica	enterica serovar Heidelberg	SH12-007
GCF_001690005.1	Salmonella enterica	enterica serovar Heidelberg	SH12-003
GCF_001690055.1	Salmonella enterica	enterica serovar Heidelberg	11-004736-1-7
GCF_001690075.1	Salmonella enterica	enterica serovar Heidelberg	CE-R2-11-0435
GCF_001690095.1	Salmonella enterica	enterica serovar Heidelberg	SA01AB09084001
GCF_001690115.1	Salmonella enterica	enterica serovar Heidelberg	SA02DT09004001
GCF_001690135.1	Salmonella enterica	enterica serovar Heidelberg	09-036813-1A
GCF_001692495.1	Salmonella enterica	enterica serovar Heidelberg	A3EZ223
GCF_001692515.1	Salmonella enterica	enterica serovar Heidelberg	AMR588-04-00435
GCF_001692535.1	Salmonella enterica	enterica serovar Heidelberg	SH13-006
GCF_001692555.1	Salmonella enterica	enterica serovar Heidelberg	A3ES40
GCF_001692575.1	Salmonella enterica	enterica serovar Heidelberg	AMR588-04-00320
GCF_001692595.1	Salmonella enterica	enterica serovar Heidelberg	AMR588-04-00318
