assembly_accession	species	subsp	strain
GCF_002151465.1	Borreliella burgdorferi		PAli yes
GCF_009017435.1	Treponema pallidum		UW-148B
GCF_009858015.1	Leptospira borgpetersenii		R29
GCF_000954195.1	Campylobacter coli		FB1
GCF_011600945.2	Campylobacter fetus		CFF00A031
GCF_001298465.1	Campylobacter concisus		ATCC 33237
GCF_000740155.1	Brucella abortus		BER
GCF_002025665.1	Chryseobacterium indologenes		AA5
GCF_001412545.1	Francisella tularensis		T01
GCF_000750905.1	Pseudomonas aeruginosa		PSE305
GCF_009586235.1	Burkholderia cepacia		BC16
GCF_000730425.1	Pseudomonas fluorescens		UK4
GCF_003515345.1	Ralstonia solanacearum		SL3755
GCF_000219605.1	Pseudomonas stutzeri		CGMCC 1.1803
GCF_016694755.2	Pseudomonas syringae		BIM B-268
GCF_004319485.1	Xanthomonas oryzae		BB151-3
GCF_001941585.1	Legionella pneumophila		Philadelphia-1 AE
GCF_002116925.1	Acinetobacter baumannii		ab736
GCF_001047275.1	Neisseria gonorrhoeae		35/02
GCF_008330805.1	Neisseria meningitidis		11-7
GCF_001641975.2	Alcaligenes faecalis		P156
GCF_900636925.1	Bordetella bronchiseptica		NCTC10543
GCF_003812345.1	Citrobacter freundii		FDAARGOS_549
GCF_900637945.1	Klebsiella aerogenes		NCTC9735
GCF_000770155.1	Enterobacter cloacae		GGT036
GCF_013892435.1	Escherichia fergusonii		RHB19-C05
GCF_001022115.1	Klebsiella oxytoca		CAV1335
GCF_000783955.2	Morganella morganii		FDAARGOS_63
GCF_003204135.1	Providencia rettgeri		AR_0082
GCF_000754345.1	Providencia stuartii		ATCC 33672
GCF_000783915.2	Serratia marcescens		FDAARGOS_65
GCF_000987925.1	Yersinia enterocolitica		FORC_002
GCF_000834235.1	Yersinia pestis		PBM19
GCF_000750315.1	Yersinia pseudotuberculosis		ATCC 6904
GCF_017310215.1	Aeromonas hydrophila		OnP3.1
GCF_012931585.1	Aeromonas salmonicida		SRW-OG1
GCF_000783775.2	Aeromonas caviae		FDAARGOS_72
GCF_014161425.1	Aeromonas media		WP7-W18-ESBL-02
GCF_008693705.1	Aeromonas veronii		FDAARGOS_632
GCF_001469735.1	Vibrio alginolyticus		ATCC 33787
GCF_004006515.1	Vibrio parahaemolyticus		VPD14
GCF_000746665.1	Vibrio vulnificus		93U204
GCF_001558415.2	Vibrio fluvialis		FDAARGOS_104
GCF_003312585.1	Vibrio campbellii		DS40M4
GCF_000767075.1	Haemophilus influenzae		Hi375
GCF_003390455.1	Haemophilus parainfluenzae		M27794
GCF_002162195.1	Histophilus somni		USDA-ARS-USMARC-63255
GCF_003061265.1	Pasteurella multocida		20N
GCF_001572745.1	Coxiella burnetii		3262
GCF_013460375.1	Ehrlichia ruminantium		Springbokfontein7
GCF_001286525.1	Bacteroides fragilis		BE1
GCF_014844295.1	Flavobacterium columnare		F2S17
GCF_001746795.1	Piscirickettsia salmonis		AY3800B
GCF_002370415.1	Leuconostoc mesenteroides		LK-151
GCF_013127755.1	Pediococcus acidilactici		PMC65
GCF_000597965.1	Staphylococcus aureus		502A RN6607
GCF_003856455.1	Staphylococcus epidermidis		CDC121
GCF_000448685.2	Streptococcus salivarius		HSISS4
GCF_001610935.1	Streptococcus suis		90-1330
GCF_001558215.1	Streptococcus mutans		NG8 Dental Plaque
GCF_900638415.1	Streptococcus agalactiae		NCTC13949
GCF_000817005.1	Streptococcus pneumoniae		NT_110_58
GCF_001267845.1	Streptococcus pyogenes		NGAS638
