assembly_accession	species	subsp	strain
GCF_001188185.2	Vibrio parahaemolyticus		FDAARGOS_51
GCF_001244315.1	Vibrio parahaemolyticus		FORC_008
GCF_001304775.1	Vibrio parahaemolyticus		FORC_006
GCF_001433415.1	Vibrio parahaemolyticus		FORC_004
GCF_001558495.2	Vibrio parahaemolyticus		FDAARGOS_115
GCF_001682175.1	Vibrio parahaemolyticus		MAVP-Q
GCF_001700835.1	Vibrio parahaemolyticus		CHN25
GCF_001758605.1	Vibrio parahaemolyticus		FORC_023 378
GCF_001879585.1	Vibrio parahaemolyticus		FORC_022
GCF_001887055.1	Vibrio parahaemolyticus		FORC_018
GCF_001951115.1	Vibrio parahaemolyticus		1682 V12/023
GCF_001996365.2	Vibrio parahaemolyticus		MVP1
GCF_002073775.2	Vibrio parahaemolyticus		FDAARGOS_191
GCF_002209725.2	Vibrio parahaemolyticus		MAVP-Q
GCF_002220985.3	Vibrio parahaemolyticus		MAVP-R
GCF_002504185.1	Vibrio parahaemolyticus		HA2
GCF_003047085.1	Vibrio parahaemolyticus		S107-1
GCF_003076895.1	Vibrio parahaemolyticus		R14
GCF_003085735.1	Vibrio parahaemolyticus		20130629002S01
GCF_003119375.1	Vibrio parahaemolyticus		R13
GCF_003351885.1	Vibrio parahaemolyticus		PB1937
GCF_003612695.1	Vibrio parahaemolyticus		FORC_072
GCF_003612715.1	Vibrio parahaemolyticus		FORC_071
GCF_003691525.1	Vibrio parahaemolyticus		160807
GCF_004006515.1	Vibrio parahaemolyticus		VPD14
GCF_004194515.1	Vibrio parahaemolyticus		D3112
GCF_006517795.1	Vibrio parahaemolyticus		Vb0624
GCF_008693625.1	Vibrio parahaemolyticus		FDAARGOS_667
GCF_008693745.1	Vibrio parahaemolyticus		FDAARGOS_662
GCF_009665495.1	Vibrio parahaemolyticus		2012AW-0154
GCF_009734325.1	Vibrio parahaemolyticus		19-021-D1
GCF_009763025.1	Vibrio parahaemolyticus		AM43962
GCF_009763165.1	Vibrio parahaemolyticus		2015AW-0174
GCF_009763405.1	Vibrio parahaemolyticus		AM51552
GCF_009763425.1	Vibrio parahaemolyticus		AM46865
GCF_009763445.1	Vibrio parahaemolyticus		2012AW-0353
GCF_009763505.1	Vibrio parahaemolyticus		2014V-1125
GCF_009763525.1	Vibrio parahaemolyticus		2014V-1066
GCF_009763545.1	Vibrio parahaemolyticus		2013V-1244
GCF_009763565.1	Vibrio parahaemolyticus		2013V-1181
GCF_009763605.1	Vibrio parahaemolyticus		2013V-1136
GCF_009763625.1	Vibrio parahaemolyticus		2013V-1174
GCF_009763645.1	Vibrio parahaemolyticus		2013V-1146
GCF_009764055.1	Vibrio parahaemolyticus		2012AW-0224
GCF_009764075.1	Vibrio parahaemolyticus		2010V-1106
GCF_009883815.1	Vibrio parahaemolyticus		20140624012-1
GCF_009883835.1	Vibrio parahaemolyticus		20140722001-1
GCF_009883855.1	Vibrio parahaemolyticus		20140829008-1
GCF_009883875.1	Vibrio parahaemolyticus		20160303005-1
GCF_009883895.1	Vibrio parahaemolyticus		20151116002-3
GCF_012274865.1	Vibrio parahaemolyticus		AM51557
GCF_012274985.1	Vibrio parahaemolyticus		2012V-1165
GCF_012275005.1	Vibrio parahaemolyticus		2012V-1116
GCF_013393845.1	Vibrio parahaemolyticus		LVP1
GCF_013393865.1	Vibrio parahaemolyticus		LVP2
GCF_013393885.1	Vibrio parahaemolyticus		LVP66
GCF_014217295.1	Vibrio parahaemolyticus		TJA114
GCF_015779285.1	Vibrio parahaemolyticus		20-082A3
GCF_016132485.1	Vibrio parahaemolyticus		NUK/7
GCF_016403045.1	Vibrio parahaemolyticus		81TDH2
GCF_018135645.1	Vibrio parahaemolyticus		FB-11
GCF_000196095.1	Vibrio parahaemolyticus		RIMD 2210633 substr. RIMD 2210633
GCF_009649015.1	Vibrio parahaemolyticus		10329
GCF_000328405.1	Vibrio parahaemolyticus		BB22OP
GCF_000430425.1	Vibrio parahaemolyticus		O1:K33 str. CDC_K4557
GCF_000430405.1	Vibrio parahaemolyticus		O1:Kuk str. FDA_R31
GCF_000568495.1	Vibrio parahaemolyticus		UCM-V493
