assembly_accession	species	subsp	strain
GCF_001610935.1	Streptococcus suis		90-1330
GCF_001640765.1	Streptococcus suis		DN13
GCF_001721625.1	Streptococcus suis		GZ0565
GCF_002285535.1	Streptococcus suis		SRD478
GCF_002285735.1	Streptococcus suis		ISU2812
GCF_002803825.1	Streptococcus suis		CZ130302
GCF_002812525.1	Streptococcus suis		AH681
GCF_003144175.1	Streptococcus suis		HN105
GCF_003285225.1	Streptococcus suis		0061
GCF_003285245.1	Streptococcus suis		1081
GCF_003288175.1	Streptococcus suis		SH0104
GCF_007724845.1	Streptococcus suis		INT-01
GCF_014192345.1	Streptococcus suis		DAT299
GCF_014843075.1	Streptococcus suis		13-00283-02
GCF_014874555.1	Streptococcus suis		LSM178
GCF_015291825.1	Streptococcus suis		YSJ17
GCF_015908885.1	Streptococcus suis		YZDH1
GCF_016774475.1	Streptococcus suis		ID33329
GCF_017309405.1	Streptococcus suis		SC183
GCF_017372155.1	Streptococcus suis		1112S
GCF_902702745.1	Streptococcus suis		861160
GCF_902702765.1	Streptococcus suis		GD-0088
GCF_902702775.1	Streptococcus suis		9401240
GCF_902702785.1	Streptococcus suis		GD-0001
GCF_000026745.1	Streptococcus suis		BM407
GCF_000231925.1	Streptococcus suis		ST1
GCF_000231885.1	Streptococcus suis		D9
GCF_000204625.1	Streptococcus suis		ST3
GCF_000390245.1	Streptococcus suis		TL13
GCF_000494895.1	Streptococcus suis		T15
GCF_000471985.1	Streptococcus suis		YB51
