assembly_accession	species	subsp	strain
GCF_000015785.2	Bacillus velezensis		FZB42
GCF_000769555.1	Bacillus velezensis		JS25R
GCF_000815275.2	Bacillus velezensis		LPL-K103
GCF_000833005.1	Bacillus velezensis		L-H15
GCF_000875875.2	Bacillus velezensis		AP183
GCF_000973485.1	Bacillus velezensis		L-S60
GCF_000988345.1	Bacillus velezensis		YJ11-1-4
GCF_001023595.1	Bacillus velezensis		G341
GCF_001536925.1	Bacillus velezensis		B25
GCF_001593395.2	Bacillus velezensis		CC09
GCF_001685645.1	Bacillus velezensis		S3-1
GCF_001687745.1	Bacillus velezensis		LS69
GCF_001723585.1	Bacillus velezensis		M75
GCF_001752685.2	Bacillus velezensis		KD1
GCF_001857985.1	Bacillus velezensis		9912D
GCF_002005345.1	Bacillus velezensis		GH1-13
GCF_002057535.1	Bacillus velezensis		sx01604
GCF_002072695.1	Bacillus velezensis		JTYP2
GCF_002105595.1	Bacillus velezensis		9D-6
GCF_002117165.1	Bacillus velezensis		CBMB205
GCF_002157265.1	Bacillus velezensis		ZL918
GCF_002192235.1	Bacillus velezensis		GQJK49
GCF_002205715.1	Bacillus velezensis		T20E-257
GCF_002216755.1	Bacillus velezensis		157
GCF_002237515.1	Bacillus velezensis		TB1501
GCF_002238395.1	Bacillus velezensis		NJAU-Z9
GCF_002327165.1	Bacillus velezensis		SCGB 574
GCF_002556565.1	Bacillus velezensis		LABIM40
GCF_002741705.1	Bacillus velezensis		NKG-1
GCF_002761535.1	Bacillus velezensis		ATR2
GCF_002764075.1	Bacillus velezensis		TJ02
GCF_002796465.1	Bacillus velezensis		CN026
GCF_002844125.1	Bacillus velezensis		Lzh-a42
GCF_002845365.1	Bacillus velezensis		CMT-6
GCF_002850475.1	Bacillus velezensis		GFP-2
GCF_002893845.1	Bacillus velezensis		10075
GCF_002944585.1	Bacillus velezensis		DKU_NT_04
GCF_002993245.1	Bacillus velezensis		VCC-2003
GCF_003045165.1	Bacillus velezensis		DR-08
GCF_003047005.1	Bacillus velezensis		J7-1
GCF_003047025.1	Bacillus velezensis		8-2
GCF_003047045.1	Bacillus velezensis		131-4
GCF_003071465.1	Bacillus velezensis		GYL4
GCF_003073455.1	Bacillus velezensis		LDO2
GCF_003076535.1	Bacillus velezensis		BS-37
GCF_003150855.1	Bacillus velezensis		Hx05
GCF_003184945.1	Bacillus velezensis		SGAir0473
GCF_003265265.1	Bacillus velezensis		W1
GCF_003285085.1	Bacillus velezensis		DSYZ
GCF_003390415.1	Bacillus velezensis		B-4
GCF_003431885.1	Bacillus velezensis		CBMB205
GCF_003432425.1	Bacillus velezensis		K26
GCF_003441635.1	Bacillus velezensis		OSY-GA1
GCF_003546955.1	Bacillus velezensis		BIM B-439D
GCF_003555525.1	Bacillus velezensis		ZF2
GCF_003573875.1	Bacillus velezensis		S141
GCF_003612755.1	Bacillus velezensis		JT3-1
GCF_003667745.1	Bacillus velezensis		Bac57
GCF_003721475.1	Bacillus velezensis		NY12-2
GCF_003855275.1	Bacillus velezensis		BCSo1
GCF_003860445.1	Bacillus velezensis		MH25
GCF_004101805.1	Bacillus velezensis		83
GCF_004119575.1	Bacillus velezensis		SRCM103691
GCF_004119735.1	Bacillus velezensis		SRCM103788
GCF_004119855.1	Bacillus velezensis		SRCM103616
GCF_004329055.1	Bacillus velezensis		ANSB01E
GCF_004331895.1	Bacillus velezensis		UTB96
GCF_004337655.1	Bacillus velezensis		LB002
GCF_004799565.1	Bacillus velezensis		UFLA258
GCF_005696395.1	Bacillus velezensis		P34
GCF_006489235.1	Bacillus velezensis		UCMB5044
GCF_006489255.1	Bacillus velezensis		UCMB5007
GCF_006489275.1	Bacillus velezensis		At1
GCF_006965525.1	Bacillus velezensis		WRN014
GCF_006974185.1	Bacillus velezensis		LG37
GCF_008244925.1	Bacillus velezensis		ONU 553
GCF_008367895.1	Bacillus velezensis		SYP-B637
GCF_008727675.1	Bacillus velezensis		FJAT-46737
GCF_008802875.1	Bacillus velezensis		LC1
GCF_009362235.1	Bacillus velezensis		FJAT-52631
GCF_009663035.1	Bacillus velezensis		AL7
GCF_009664145.1	Bacillus velezensis		BvL03
GCF_009734085.1	Bacillus velezensis		GA1
GCF_009738165.1	Bacillus velezensis		HN-Q-8
GCF_009789615.1	Bacillus velezensis		BA-26
GCF_009834085.1	Bacillus velezensis		FJAT-45028
GCF_009856975.1	Bacillus velezensis		DH8043
GCF_009913295.1	Bacillus velezensis		SRCM102755
GCF_009913315.1	Bacillus velezensis		SRCM102741
GCF_009913335.1	Bacillus velezensis		SRCM102742
GCF_009913355.1	Bacillus velezensis		SRCM102743
GCF_009913475.1	Bacillus velezensis		SRCM102746
GCF_009914135.1	Bacillus velezensis		SRCM102752
GCF_009914175.1	Bacillus velezensis		SRCM101368
GCF_009931675.1	Bacillus velezensis		CACC 316
GCF_011032725.1	Bacillus velezensis		LPL061
GCF_011100445.1	Bacillus velezensis		UB2017
GCF_011769925.1	Bacillus velezensis		BIM B-1312D
GCF_011784665.1	Bacillus velezensis		S4
GCF_012226065.1	Bacillus velezensis		Htq6
GCF_012275165.1	Bacillus velezensis		BY6
GCF_012647845.1	Bacillus velezensis		UCMB5140
GCF_013122275.1	Bacillus velezensis		EN01
GCF_013201135.1	Bacillus velezensis		A2
GCF_013201465.1	Bacillus velezensis		B268
GCF_013348705.1	Bacillus velezensis		KKLW
GCF_013367755.1	Bacillus velezensis		WLYS23
GCF_013401395.2	Bacillus velezensis		LABIM22
GCF_013694265.1	Bacillus velezensis		BIOMA BV10
GCF_013701805.1	Bacillus velezensis		K01
GCF_013875015.1	Bacillus velezensis		MV2
GCF_014048285.1	Bacillus velezensis		JSRB 166
GCF_014048385.1	Bacillus velezensis		JSRB 08
GCF_014117505.1	Bacillus velezensis		Pm9
GCF_014180705.2	Bacillus velezensis		NST6
GCF_014211995.1	Bacillus velezensis		HAB-2
GCF_014358035.1	Bacillus velezensis		YB-130
GCF_014495825.1	Bacillus velezensis		CLA178
GCF_014622705.1	Bacillus velezensis		ZF145
GCF_014706595.1	Bacillus velezensis		AK-0
GCF_014764325.1	Bacillus velezensis		Y4_39
GCF_014841075.1	Bacillus velezensis		BSC16a
GCF_014961825.1	Bacillus velezensis		GY65
GCF_015239615.1	Bacillus velezensis		LF01
GCF_015277495.1	Bacillus velezensis		KMU01
GCF_015291865.1	Bacillus velezensis		DTU001
GCF_015732475.1	Bacillus velezensis		FIO1408
GCF_016065635.1	Bacillus velezensis		LBUM1082
GCF_016415725.1	Bacillus velezensis		LBUM279
GCF_016766595.1	Bacillus velezensis		GUMT319
GCF_016801735.1	Bacillus velezensis		WSM-1
GCF_016834435.1	Bacillus velezensis		GUAL210
GCF_016859395.1	Bacillus velezensis		PEBA20
GCF_016888865.1	Bacillus velezensis		TB918
GCF_016904925.1	Bacillus velezensis		Sam8H1
GCF_017347625.1	Bacillus velezensis		AD-3
GCF_017742975.1	Bacillus velezensis		AD8
