assembly_accession	species	subsp	strain
GCF_000827935.1	Clostridium botulinum		NCTC 8266
GCF_000827955.1	Clostridium botulinum		NCTC 8550
GCF_000829015.1	Clostridium botulinum		111
GCF_001879605.1	Clostridium botulinum		CDC_69094
GCF_001879625.1	Clostridium botulinum		CDC_67190
GCF_001889345.1	Clostridium botulinum		CDC_69094
GCF_001889365.1	Clostridium botulinum		CDC_54064
GCF_001921905.1	Clostridium botulinum		F1425
GCF_001921925.1	Clostridium botulinum		1169
GCF_001921945.1	Clostridium botulinum		AM282
GCF_001921965.1	Clostridium botulinum		F160
GCF_001921985.1	Clostridium botulinum		F634
GCF_002865745.1	Clostridium botulinum		B742
GCF_002865765.1	Clostridium botulinum		Mauritius
GCF_002865805.1	Clostridium botulinum		AM1051
GCF_002865825.1	Clostridium botulinum		A634
GCF_002865845.1	Clostridium botulinum		Af650
GCF_002866045.1	Clostridium botulinum		BrDura
GCF_002866125.1	Clostridium botulinum		B515
GCF_002866225.1	Clostridium botulinum		B609
GCF_003017195.1	Clostridium botulinum		Mfbjulcb6
GCF_003017225.1	Clostridium botulinum		RF5
GCF_003017335.1	Clostridium botulinum		Mfbjulcb3
GCF_003058345.1	Clostridium botulinum		DFPST0029
GCF_003058445.1	Clostridium botulinum		CFSAN064329
GCF_003345315.1	Clostridium botulinum		CFSAN034202
GCF_003345335.1	Clostridium botulinum		CFSAN034200
GCF_009733885.1	Clostridium botulinum		NCTC 13319
GCF_014068615.1	Clostridium botulinum		CJ0611A1
GCF_016071375.1	Clostridium botulinum		Stockholm
GCF_016798345.1	Clostridium botulinum		X58540
GCF_016838665.1	Clostridium botulinum		IBCA10-7060
GCF_000063585.1	Clostridium botulinum		A str. ATCC 3502
GCF_000017025.1	Clostridium botulinum		A str. ATCC 19397
GCF_000017045.1	Clostridium botulinum		A str. Hall
GCF_000017065.1	Clostridium botulinum		F str. Langeland
GCF_000019305.1	Clostridium botulinum		B1 str. Okra
GCF_000019545.1	Clostridium botulinum		A3 str. Loch Maree
GCF_000020285.1	Clostridium botulinum		E3 str. Alaska E43
GCF_000020345.1	Clostridium botulinum		Ba4 str. 657
GCF_000022765.1	Clostridium botulinum		A2 str. Kyoto
GCF_000204565.1	Clostridium botulinum		BKT015925
GCF_000020165.1	Clostridium botulinum		B str. Eklund 17B (NRP)
GCF_000307125.1	Clostridium botulinum		B str. Eklund 17B (NRP) B str. Eklund 17B(NRP)
GCF_000253195.1	Clostridium botulinum		H04402 065
GCF_000816965.1	Clostridium botulinum		Prevot_594
GCF_000789355.1	Clostridium botulinum		202F
