assembly_accession	species	subsp	strain
GCF_000971665.1	Streptococcus thermophilus		SMQ-301
GCF_001008015.1	Streptococcus thermophilus		MN-BM-A02
GCF_001280285.1	Streptococcus thermophilus		MN-BM-A01
GCF_001514435.1	Streptococcus thermophilus		S9
GCF_001663795.1	Streptococcus thermophilus		KLDS SM
GCF_001685375.1	Streptococcus thermophilus		CS8
GCF_001705585.1	Streptococcus thermophilus		KLDS 3.1003
GCF_001855705.1	Streptococcus thermophilus		ND07
GCF_002012365.1	Streptococcus thermophilus		APC151
GCF_002286255.1	Streptococcus thermophilus		ST3
GCF_002443035.1	Streptococcus thermophilus		B59671
GCF_002843115.1	Streptococcus thermophilus		DGCC 7710
GCF_002846075.1	Streptococcus thermophilus		GABA
GCF_002846155.1	Streptococcus thermophilus		EPS
GCF_003402855.1	Streptococcus thermophilus		ST109
GCF_003443395.1	Streptococcus thermophilus		ST106
GCF_004114735.1	Streptococcus thermophilus		IDCC2201
GCF_009856565.1	Streptococcus thermophilus		EU01
GCF_010120595.1	Streptococcus thermophilus		ATCC 19258
GCF_010692845.1	Streptococcus thermophilus		PNGR-Z-K3
GCF_011801285.1	Streptococcus thermophilus		ST64987
GCF_013307185.1	Streptococcus thermophilus		CS5
GCF_013307285.1	Streptococcus thermophilus		CS18
GCF_015190465.1	Streptococcus thermophilus		TK-P3A
GCF_017359825.1	Streptococcus thermophilus		24853
GCF_017359885.1	Streptococcus thermophilus		24740
GCF_017360005.1	Streptococcus thermophilus		24739
GCF_017360085.1	Streptococcus thermophilus		24738
GCF_017360165.1	Streptococcus thermophilus		13499
GCF_017360245.1	Streptococcus thermophilus		13498
GCF_017360305.1	Streptococcus thermophilus		13496
GCF_017584245.1	Streptococcus thermophilus		MAG_rmk202_sterm
GCF_018219175.1	Streptococcus thermophilus		DMST-H2
GCF_900094135.1	Streptococcus thermophilus		ACA-DC 2
GCF_900474985.1	Streptococcus thermophilus		NCTC12958
GCF_900492165.1	Streptococcus thermophilus		N4L
GCF_903884415.1	Streptococcus thermophilus		STH_CIRM_16
GCF_903885985.1	Streptococcus thermophilus		STH_CIRM_18
GCF_903886075.1	Streptococcus thermophilus		STH_CIRM_19
GCF_903886205.1	Streptococcus thermophilus		STH_CIRM_29
GCF_903886285.1	Streptococcus thermophilus		STH_CIRM_30
GCF_903886345.1	Streptococcus thermophilus		STH_CIRM_32
GCF_903886385.1	Streptococcus thermophilus		STH_CIRM_36
GCF_903886475.1	Streptococcus thermophilus		STH_CIRM_65
GCF_903886505.1	Streptococcus thermophilus		STH_CIRM_336
GCF_903886595.1	Streptococcus thermophilus		STH_CIRM_956
GCF_903886635.1	Streptococcus thermophilus		STH_CIRM_772
GCF_903886645.1	Streptococcus thermophilus		STH_CIRM_368
GCF_903886745.1	Streptococcus thermophilus		STH_CIRM_961
GCF_903890635.1	Streptococcus thermophilus		STH_CIRM_967
GCF_903890695.1	Streptococcus thermophilus		STH_CIRM_998
GCF_903890795.1	Streptococcus thermophilus		STH_CIRM_1046
GCF_903890815.1	Streptococcus thermophilus		STH_CIRM_1035
GCF_903890825.1	Streptococcus thermophilus		STH_CIRM_1047
GCF_903890905.1	Streptococcus thermophilus		STH_CIRM_1048
GCF_903890925.1	Streptococcus thermophilus		STH_CIRM_1049
GCF_903890945.1	Streptococcus thermophilus		STH_CIRM_1050
GCF_903891015.1	Streptococcus thermophilus		STH_CIRM_1051
GCF_903891025.1	Streptococcus thermophilus		STH_CIRM_1055
GCF_903891105.1	Streptococcus thermophilus		STH_CIRM_1116
GCF_903891135.1	Streptococcus thermophilus		STH_CIRM_1121
GCF_903891195.1	Streptococcus thermophilus		STH_CIRM_1122
GCF_903891205.1	Streptococcus thermophilus		STH_CIRM_1125
GCF_903891245.1	Streptococcus thermophilus		STH_CIRM_1358
GCF_903891305.1	Streptococcus thermophilus		STH_CIRM_2101
GCF_903960675.1	Streptococcus thermophilus		STH_CIRM_67
GCF_000011825.1	Streptococcus thermophilus		LMG 18311
GCF_000011845.1	Streptococcus thermophilus		CNRZ1066
GCF_000014485.1	Streptococcus thermophilus		LMD-9
GCF_000182875.1	Streptococcus thermophilus		ND03
GCF_000253395.1	Streptococcus thermophilus		JIM 8232
GCF_000262675.1	Streptococcus thermophilus		MN-ZLW-002
GCF_000698885.1	Streptococcus thermophilus		ASCC 1275
GCF_000521285.1	Streptococcus thermophilus		TH1435
GCF_000521305.1	Streptococcus thermophilus		TH1436
GCF_000521265.1	Streptococcus thermophilus		M17PTZA496
GCF_000836675.1	Streptococcus thermophilus		TH985
