assembly_accession	species	subsp	strain
GCF_000219605.1	Pseudomonas stutzeri		CGMCC 1.1803
GCF_000590475.1	Pseudomonas stutzeri		28a24
GCF_000661915.1	Pseudomonas stutzeri		19SMN4
GCF_001038645.1	Pseudomonas stutzeri		SLG510A3-8
GCF_001648195.1	Pseudomonas stutzeri		273
GCF_003001655.1	Pseudomonas stutzeri		DW2-1
GCF_003008495.1	Pseudomonas stutzeri		1W1-1A
GCF_003952645.1	Pseudomonas stutzeri		KGS-2
GCF_003952685.1	Pseudomonas stutzeri		KGS-8
GCF_005844005.1	Pseudomonas stutzeri		PheN2
GCF_009740185.1	Pseudomonas stutzeri		XL272
GCF_009789555.1	Pseudomonas stutzeri		PM101005
GCF_015291885.1	Pseudomonas stutzeri		ATCC 14405
GCF_015680045.1	Pseudomonas stutzeri		ZDHY95
GCF_016028515.1	Pseudomonas stutzeri		FDAARGOS_877
GCF_016028635.1	Pseudomonas stutzeri		FDAARGOS_876
GCF_016028655.1	Pseudomonas stutzeri		FDAARGOS_875
GCF_016127795.1	Pseudomonas stutzeri		FDAARGOS_1065
GCF_017577085.1	Pseudomonas stutzeri		TPA3
GCF_018138085.1	Pseudomonas stutzeri		F2
GCF_900636845.1	Pseudomonas stutzeri		NCTC10450
GCF_900638035.1	Pseudomonas stutzeri		NCTC10475
GCF_000013785.1	Pseudomonas stutzeri		A1501
GCF_000327065.1	Pseudomonas stutzeri		RCH2
GCF_000195105.1	Pseudomonas stutzeri		DSM 4166
GCF_000279165.1	Pseudomonas stutzeri		DSM 10701
GCF_000267545.1	Pseudomonas stutzeri		CCUG 29243
