assembly_accession	species	subsp	strain
GCF_006363895.1	Methylopumilus universalis		MMS-RVI-51
GCF_006363975.1	Methylopumilus universalis		MMS-RVI-9
GCF_006363995.1	Methylopumilus universalis		MMS-RVI-34
GCF_006364015.1	Methylopumilus universalis		MMS-RVI-37
GCF_006364055.1	Methylopumilus universalis		MMS-RIV-46
GCF_006364075.1	Methylopumilus universalis		MMS-RVI-12
GCF_006364095.1	Methylopumilus universalis		MMS-RIV-25
GCF_006364115.1	Methylopumilus universalis		MMS-RVI-8
GCF_006364135.1	Methylopumilus universalis		MMS-VA-83
GCF_006364155.1	Methylopumilus universalis		MMS-RIV-50
GCF_006364175.1	Methylopumilus universalis		MMS-RVI-16
GCF_006364195.1	Methylopumilus universalis		MMS-VB-110
GCF_006364215.1	Methylopumilus universalis		MMS-RIV-30
GCF_006364255.1	Methylopumilus universalis		MMS-RIV-70
GCF_006364275.1	Methylopumilus universalis		MMS-RIV-17
GCF_006364315.1	Methylopumilus universalis		MMS-RII-56
GCF_006364335.1	Methylopumilus universalis		MMS-RVI-13
GCF_006364375.1	Methylopumilus universalis		MMS-RIV-60
GCF_006364395.1	Methylopumilus universalis		MMS-VB-8
GCF_006364415.1	Methylopumilus universalis		MMS-VB-60
GCF_006364435.1	Methylopumilus universalis		MMS-VB-103
GCF_006365175.1	Methylopumilus universalis		MMS-RIV-48
GCF_006365195.1	Methylopumilus universalis		MMS-VI-38
GCF_006365215.1	Methylopumilus universalis		MMS-VB-91
GCF_006365235.1	Methylopumilus universalis		MMS-VI-126
GCF_006365255.1	Methylopumilus universalis		MMS-RIV-57
GCF_006365275.1	Methylopumilus universalis		MMS-RIV-28
GCF_006365295.1	Methylopumilus universalis		MMS-VI-25
GCF_006365315.1	Methylopumilus universalis		MMS-RIV-52
