assembly_accession	species	subsp	strain
GCF_000817005.1	Streptococcus pneumoniae		NT_110_58
GCF_001255215.1	Streptococcus pneumoniae		A66
GCF_001457635.1	Streptococcus pneumoniae		NCTC7465
GCF_001715565.2	Streptococcus pneumoniae		D141
GCF_001896045.1	Streptococcus pneumoniae		SP49
GCF_001896065.1	Streptococcus pneumoniae		SP61
GCF_001896085.1	Streptococcus pneumoniae		SP64
GCF_001902455.1	Streptococcus pneumoniae		SWU02
GCF_002076835.1	Streptococcus pneumoniae		Hu17
GCF_002357995.1	Streptococcus pneumoniae		KK0981
GCF_002813535.1	Streptococcus pneumoniae		BHN97x
GCF_002813955.1	Streptococcus pneumoniae		11A
GCF_002843545.1	Streptococcus pneumoniae		Xen35
GCF_002947575.1	Streptococcus pneumoniae		endophthalmitis 335
GCF_003044325.1	Streptococcus pneumoniae		CP2215
GCF_003351525.1	Streptococcus pneumoniae		M23734
GCF_003351645.1	Streptococcus pneumoniae		M16808
GCF_003351705.1	Streptococcus pneumoniae		M26365
GCF_003351725.1	Streptococcus pneumoniae		M26368
GCF_003354825.1	Streptococcus pneumoniae		SPN XDR SMC1710-32
GCF_003367435.1	Streptococcus pneumoniae		EF3030
GCF_003609935.1	Streptococcus pneumoniae		MDRSPN001
GCF_003966485.1	Streptococcus pneumoniae		ATCC 49619
GCF_003966505.1	Streptococcus pneumoniae		HU-OH
GCF_003966525.1	Streptococcus pneumoniae		NU83127
GCF_003967155.2	Streptococcus pneumoniae		ASP0581
GCF_003994915.1	Streptococcus pneumoniae		HKU1-14
GCF_004291255.1	Streptococcus pneumoniae		EF3030
GCF_008253725.1	Streptococcus pneumoniae		R6CIB17
GCF_009664475.1	Streptococcus pneumoniae		AUSMDU00010538
GCF_011694695.1	Streptococcus pneumoniae		PZ900701590
GCF_013047165.1	Streptococcus pneumoniae		6A-10
GCF_015838875.1	Streptococcus pneumoniae		310
GCF_015839035.1	Streptococcus pneumoniae		475
GCF_015839235.1	Streptococcus pneumoniae		521
GCF_015839415.1	Streptococcus pneumoniae		525
GCF_015839575.1	Streptococcus pneumoniae		566
GCF_015839775.1	Streptococcus pneumoniae		573
GCF_015839915.1	Streptococcus pneumoniae		574
GCF_015840115.1	Streptococcus pneumoniae		563
GCF_016653535.1	Streptococcus pneumoniae		MDR-MM-0720-0522
GCF_017569245.1	Streptococcus pneumoniae		BVJ1JL
GCF_900475515.1	Streptococcus pneumoniae		NCTC13276
GCF_900475805.1	Streptococcus pneumoniae		NCTC11902
GCF_900476445.1	Streptococcus pneumoniae		4041STDY6836167
GCF_900476455.1	Streptococcus pneumoniae		4041STDY6836169
GCF_900476465.1	Streptococcus pneumoniae		4041STDY6836170
GCF_900476505.1	Streptococcus pneumoniae		4041STDY6836166
GCF_900618545.1	Streptococcus pneumoniae		4496
GCF_900618555.1	Streptococcus pneumoniae		947
GCF_900618575.1	Streptococcus pneumoniae		180-2
GCF_900618585.1	Streptococcus pneumoniae		180-15
GCF_900622505.2	Streptococcus pneumoniae		4559
GCF_900636585.1	Streptococcus pneumoniae		NCTC12977
GCF_000006885.1	Streptococcus pneumoniae		TIGR4; ATCC BAA-334
GCF_000273445.1	Streptococcus pneumoniae		TIGR4
GCF_000007045.1	Streptococcus pneumoniae		R6
GCF_000147095.1	Streptococcus pneumoniae		670-6B
GCF_000014365.2	Streptococcus pneumoniae		D39
GCF_000019025.1	Streptococcus pneumoniae		Taiwan19F-14
GCF_000019265.1	Streptococcus pneumoniae		Hungary19A-6
GCF_000018965.1	Streptococcus pneumoniae		70585
GCF_000018985.1	Streptococcus pneumoniae		JJA
GCF_000019005.1	Streptococcus pneumoniae		P1031
GCF_000019825.1	Streptococcus pneumoniae		G54
GCF_000019985.1	Streptococcus pneumoniae		CGSP14
GCF_000196595.1	Streptococcus pneumoniae		TCH8431/19A
GCF_000026665.1	Streptococcus pneumoniae		ATCC 700669
GCF_000146975.1	Streptococcus pneumoniae		AP200
GCF_000210955.1	Streptococcus pneumoniae		OXC141
GCF_000210935.1	Streptococcus pneumoniae		INV200
GCF_000210975.1	Streptococcus pneumoniae		INV104
GCF_000211015.1	Streptococcus pneumoniae		SPN034183 SNP034183
GCF_000211035.1	Streptococcus pneumoniae		SPN994038 SNP994038
GCF_000211055.1	Streptococcus pneumoniae		SPN994039 SNP994039
GCF_000251085.2	Streptococcus pneumoniae		ST556
GCF_000494795.1	Streptococcus pneumoniae		A026
