assembly_accession	species	subsp	strain
GCF_000754275.1	Pasteurella multocida		ATCC 43137
GCF_001721885.1	Pasteurella multocida		Pm-3
GCF_001874445.1	Pasteurella multocida		Razi_Pm0001
GCF_002073255.2	Pasteurella multocida		FDAARGOS_218
GCF_002073295.2	Pasteurella multocida		FDAARGOS_216
GCF_002393385.1	Pasteurella multocida		FDAARGOS_384
GCF_002591295.1	Pasteurella multocida		FDAARGOS_385
GCF_002859245.1	Pasteurella multocida		USDA-ARS-USMARC-60494
GCF_002859265.1	Pasteurella multocida		USDA-ARS-USMARC-60215
GCF_002859285.1	Pasteurella multocida		USDA-ARS-USMARC-60717
GCF_002859305.1	Pasteurella multocida		USDA-ARS-USMARC-60213
GCF_002859325.1	Pasteurella multocida		USDA-ARS-USMARC-59910
GCF_002859345.1	Pasteurella multocida		USDA-ARS-USMARC-60380
GCF_002859365.1	Pasteurella multocida		USDA-ARS-USMARC-60713
GCF_002859385.1	Pasteurella multocida		USDA-ARS-USMARC-60224
GCF_002859405.1	Pasteurella multocida		USDA-ARS-USMARC-60712
GCF_002859425.1	Pasteurella multocida		USDA-ARS-USMARC-60675
GCF_002859445.1	Pasteurella multocida		USDA-ARS-USMARC-60248
GCF_002859465.1	Pasteurella multocida		USDA-ARS-USMARC-60385
GCF_002859485.1	Pasteurella multocida		USDA-ARS-USMARC-59962
GCF_002859525.1	Pasteurella multocida		USDA-ARS-USMARC-60381
GCF_002859545.1	Pasteurella multocida		USDA-ARS-USMARC-60714
GCF_002891825.2	Pasteurella multocida		CQ6
GCF_002948995.1	Pasteurella multocida		161215033201-1
GCF_003061265.1	Pasteurella multocida		20N
GCF_003261335.1	Pasteurella multocida		4407
GCF_003261435.1	Pasteurella multocida		3361
GCF_003261515.1	Pasteurella multocida		14424
GCF_003402875.1	Pasteurella multocida		PM8-1
GCF_003402895.1	Pasteurella multocida		TB168
GCF_003402915.1	Pasteurella multocida		EB168
GCF_003402935.1	Pasteurella multocida		BS168
GCF_004792555.1	Pasteurella multocida		FCf15
GCF_004792575.1	Pasteurella multocida		FCf71
GCF_004792595.1	Pasteurella multocida		FCf45
GCF_004792615.1	Pasteurella multocida		FCf76
GCF_004792635.1	Pasteurella multocida		FCf83
GCF_006274235.1	Pasteurella multocida		EB104
GCF_006351865.1	Pasteurella multocida		PM 8-6
GCF_008693845.1	Pasteurella multocida		FDAARGOS_644
GCF_009646155.1	Pasteurella multocida		PM22
GCF_009739555.1	Pasteurella multocida		Q
GCF_009739575.1	Pasteurella multocida		CQ7
GCF_010443215.1	Pasteurella multocida		HS_Canada1
GCF_011149495.1	Pasteurella multocida		KVNON-213
GCF_011390865.1	Pasteurella multocida		VP161
GCF_014058465.1	Pasteurella multocida		A0419
GCF_014058625.1	Pasteurella multocida		618/90
GCF_014058645.1	Pasteurella multocida		619/90
GCF_014058665.1	Pasteurella multocida		671/90
GCF_014495805.1	Pasteurella multocida		PS3536-1p
GCF_016313205.1	Pasteurella multocida		PM-1
GCF_017815735.1	Pasteurella multocida		Tibet-Pm1
GCF_018139065.1	Pasteurella multocida		HuN001
GCF_900187275.1	Pasteurella multocida		NCTC10322
GCF_900478175.1	Pasteurella multocida		NCTC10382
GCF_900638095.1	Pasteurella multocida		NCTC8282
GCF_900638665.1	Pasteurella multocida		NCTC10323
GCF_006232065.1	Pasteurella multocida	multocida	HN02
GCF_006232125.1	Pasteurella multocida	multocida	HN01
GCF_900638315.1	Pasteurella multocida	septica	NCTC11619
GCF_900636625.1	Pasteurella multocida	gallicida	NCTC10204
GCF_000259545.1	Pasteurella multocida	multocida	3480
GCF_000234745.1	Pasteurella multocida		36950
GCF_000255915.1	Pasteurella multocida	multocida	HN06
GCF_000512395.1	Pasteurella multocida	multocida	HB03
GCF_000973565.1	Pasteurella multocida		OH1905
GCF_000413135.1	Pasteurella multocida	multocida P1062	P1062
GCF_001663095.1	Pasteurella multocida	multocida HB01	HB01
GCF_001956795.1	Pasteurella multocida	multocida	HN07
GCF_001578435.2	Pasteurella multocida	multocida PMTB2.1	PMTB2.1
