assembly_accession	species	subsp	strain
GCF_000954195.1	Campylobacter coli		FB1
GCF_001417615.1	Campylobacter coli		CO2-160
GCF_001417635.1	Campylobacter coli		HC2-48
GCF_001417655.1	Campylobacter coli		CF2-75
GCF_001639125.1	Campylobacter coli		YH501
GCF_001717605.1	Campylobacter coli		14983A
GCF_001865455.1	Campylobacter coli		YF2105
GCF_001865475.1	Campylobacter coli		MG1116
GCF_001865495.1	Campylobacter coli		BP3183
GCF_001865555.1	Campylobacter coli		BG2108
GCF_001936355.1	Campylobacter coli		YH502
GCF_002407145.1	Campylobacter coli		CFSAN032805
GCF_002843985.1	Campylobacter coli		YH503
GCF_003030205.1	Campylobacter coli		CFSAN054106
GCF_004307315.1	Campylobacter coli		RM2228
GCF_005517455.1	Campylobacter coli		S9
GCF_008727315.1	Campylobacter coli		AR-0420
GCF_008727495.1	Campylobacter coli		AR-0411
GCF_009498195.1	Campylobacter coli		18-84
GCF_009498315.1	Campylobacter coli		18-75
GCF_009649055.1	Campylobacter coli		CFSAN032805
GCF_009730395.1	Campylobacter coli		FDAARGOS_735
GCF_010232325.1	Campylobacter coli		16SHKX65C
GCF_013391125.1	Campylobacter coli		20A420
GCF_013416175.1	Campylobacter coli		R7B144
GCF_014705905.1	Campylobacter coli		PSU-32
GCF_014906165.1	Campylobacter coli		meC0467
GCF_014906185.1	Campylobacter coli		meC0280
GCF_016127675.1	Campylobacter coli		FDAARGOS_1028
GCF_018176875.1	Campylobacter coli		CC19CH075
GCF_018176975.1	Campylobacter coli		CC19CH076
GCF_000583755.1	Campylobacter coli		RM1875
GCF_000583775.1	Campylobacter coli		RM4661
GCF_000583795.1	Campylobacter coli		RM5611
GCF_000465235.1	Campylobacter coli		CVM N29710
GCF_000494775.2	Campylobacter coli		15-537360
GCF_000470055.1	Campylobacter coli		76339
