assembly_accession	species	subsp	strain
GCF_001483885.1	Bacillus amyloliquefaciens		MBE1283
GCF_001596755.1	Bacillus amyloliquefaciens		B15
GCF_001705195.1	Bacillus amyloliquefaciens		RD7-7
GCF_001874385.1	Bacillus amyloliquefaciens		Y14
GCF_001889285.1	Bacillus amyloliquefaciens		LM2303
GCF_001922005.1	Bacillus amyloliquefaciens		WS-8
GCF_002173635.1	Bacillus amyloliquefaciens		SRCM101267
GCF_002209305.1	Bacillus amyloliquefaciens		MT45
GCF_003149695.1	Bacillus amyloliquefaciens		ALB69
GCF_003149715.1	Bacillus amyloliquefaciens		ALB65
GCF_003149795.1	Bacillus amyloliquefaciens		ALB79
GCF_003312895.1	Bacillus amyloliquefaciens		SH-B74
GCF_003868675.1	Bacillus amyloliquefaciens		YP6
GCF_004006115.1	Bacillus amyloliquefaciens		HK1
GCF_007362635.1	Bacillus amyloliquefaciens		ZJU1
GCF_007827165.1	Bacillus amyloliquefaciens		H
GCF_007923205.1	Bacillus amyloliquefaciens		X030
GCF_008534375.1	Bacillus amyloliquefaciens		DH8030
GCF_008808015.1	Bacillus amyloliquefaciens		V167
GCF_008824205.1	Bacillus amyloliquefaciens		KC41
GCF_013122255.1	Bacillus amyloliquefaciens		WF02
GCF_013328835.1	Bacillus amyloliquefaciens		205
GCF_013341255.1	Bacillus amyloliquefaciens		R8-25
GCF_014622745.1	Bacillus amyloliquefaciens		T-5
GCF_014791945.1	Bacillus amyloliquefaciens		INH2-4b
GCF_014792065.1	Bacillus amyloliquefaciens		MOH1-5b
GCF_014854735.1	Bacillus amyloliquefaciens		HM618
GCF_014930895.1	Bacillus amyloliquefaciens		PP19
GCF_015999565.1	Bacillus amyloliquefaciens		DGL1
GCF_017357905.1	Bacillus amyloliquefaciens		GXU-1
GCF_017603845.1	Bacillus amyloliquefaciens		XJ5
GCF_017815555.1	Bacillus amyloliquefaciens		G10
GCF_018223605.1	Bacillus amyloliquefaciens		Ba13
GCF_018363035.1	Bacillus amyloliquefaciens		L-17
GCF_018502525.1	Bacillus amyloliquefaciens		SN16-1
GCF_000196735.1	Bacillus amyloliquefaciens		DSM 7 = ATCC 23350
GCF_000204275.1	Bacillus amyloliquefaciens		LL3
GCF_000242855.2	Bacillus amyloliquefaciens		IT-45
GCF_000262385.1	Bacillus amyloliquefaciens		Y2
GCF_000835145.1	Bacillus amyloliquefaciens		KHG19
GCF_000494835.1	Bacillus amyloliquefaciens		CC178
GCF_000508265.1	Bacillus amyloliquefaciens		LFB112
GCF_001593785.1	Bacillus amyloliquefaciens		UMAF6614
