assembly_accession	species	subsp	strain
GCF_001469735.1	Vibrio alginolyticus		ATCC 33787
GCF_001679745.1	Vibrio alginolyticus		ZJ-T
GCF_002119505.2	Vibrio alginolyticus		K01M1
GCF_002119525.1	Vibrio alginolyticus		K08M4
GCF_002119545.1	Vibrio alginolyticus		K04M5
GCF_002119565.1	Vibrio alginolyticus		K06K5
GCF_002119585.1	Vibrio alginolyticus		K10K4
GCF_002149065.1	Vibrio alginolyticus		K09K1
GCF_002149085.1	Vibrio alginolyticus		K08M3
GCF_002149105.1	Vibrio alginolyticus		K04M3
GCF_002953515.1	Vibrio alginolyticus		FDAARGOS_108
GCF_002953535.1	Vibrio alginolyticus		FDAARGOS_110
GCF_002953975.1	Vibrio alginolyticus		FDAARGOS_114
GCF_003613035.1	Vibrio alginolyticus		K04M1
GCF_003613065.1	Vibrio alginolyticus		K05K4
GCF_009665435.1	Vibrio alginolyticus		2013V-1302
GCF_009763085.1	Vibrio alginolyticus		2014V-1011
GCF_009763745.1	Vibrio alginolyticus		2439-01
GCF_009763845.1	Vibrio alginolyticus		2010V-1102
GCF_011801435.1	Vibrio alginolyticus		FA2
GCF_012274965.1	Vibrio alginolyticus		2015AW-0011
GCF_013368735.1	Vibrio alginolyticus		GS_MYPK1
GCF_014274185.1	Vibrio alginolyticus		Vb1833
GCF_017161465.1	Vibrio alginolyticus		E06333
GCF_000354175.2	Vibrio alginolyticus		NBRC 15630 = ATCC 17749
