assembly_accession	species	subsp	strain
GCF_008586825.1	Haemophilus influenzae		biotype aegyptius HE15/F3028
GCF_000767075.1	Haemophilus influenzae		Hi375
GCF_000931575.1	Haemophilus influenzae		477
GCF_000931605.1	Haemophilus influenzae		C486
GCF_000931625.1	Haemophilus influenzae		723
GCF_001457655.1	Haemophilus influenzae		NCTC8143
GCF_001856725.1	Haemophilus influenzae		NML-Hia-1
GCF_002073475.2	Haemophilus influenzae		FDAARGOS_199
GCF_002966575.1	Haemophilus influenzae		48P106H1
GCF_002966595.1	Haemophilus influenzae		48P153H1
GCF_002966615.1	Haemophilus influenzae		5P28H1
GCF_002966635.1	Haemophilus influenzae		5P54H1
GCF_002966655.1	Haemophilus influenzae		67P38H1
GCF_002966675.1	Haemophilus influenzae		67P56H1
GCF_002966695.1	Haemophilus influenzae		6P24H2
GCF_002966715.1	Haemophilus influenzae		6P32H1
GCF_002966735.1	Haemophilus influenzae		11P6H
GCF_003351445.1	Haemophilus influenzae		M21460
GCF_003351465.1	Haemophilus influenzae		M17648
GCF_003351605.1	Haemophilus influenzae		M12125
GCF_003352345.1	Haemophilus influenzae		M25267
GCF_003352365.1	Haemophilus influenzae		M13034
GCF_003352405.1	Haemophilus influenzae		M15895
GCF_003425445.1	Haemophilus influenzae		P621-7028
GCF_003425465.1	Haemophilus influenzae		P650-8603
GCF_003425485.1	Haemophilus influenzae		P652-8881
GCF_003425525.1	Haemophilus influenzae		P642-4396
GCF_003425565.1	Haemophilus influenzae		P679-2791
GCF_003425585.1	Haemophilus influenzae		P636-8296
GCF_003425605.1	Haemophilus influenzae		P676-2514
GCF_003425625.1	Haemophilus influenzae		P672-7661
GCF_003425645.1	Haemophilus influenzae		P665-7858
GCF_003425715.1	Haemophilus influenzae		P617-9224
GCF_003425765.1	Haemophilus influenzae		P595-8370
GCF_003425815.1	Haemophilus influenzae		P615-8618
GCF_003425935.1	Haemophilus influenzae		P641-4342
GCF_003425955.1	Haemophilus influenzae		P662-7189
GCF_003691635.1	Haemophilus influenzae		P602-8883
GCF_003691655.1	Haemophilus influenzae		P657-8759
GCF_008831525.1	Haemophilus influenzae		PittGG
GCF_013394405.1	Haemophilus influenzae		2018-Y40
GCF_014931495.1	Haemophilus influenzae		M1C112_1
GCF_016861285.1	Haemophilus influenzae		TA8730
GCF_900475755.1	Haemophilus influenzae		NCTC11426
GCF_900475995.1	Haemophilus influenzae		NCTC12975
GCF_900478275.1	Haemophilus influenzae		NCTC13377
GCF_900478325.1	Haemophilus influenzae		NCTC12194
GCF_900478735.1	Haemophilus influenzae		NCTC8455
GCF_900635795.1	Haemophilus influenzae		NCTC11394
GCF_900635805.1	Haemophilus influenzae		NCTC12699
GCF_900638105.1	Haemophilus influenzae		NCTC11873
GCF_901472485.1	Haemophilus influenzae		NCTC8468
GCF_000165575.1	Haemophilus influenzae		R2846
GCF_000165525.1	Haemophilus influenzae		R2866
