assembly_accession	species	subsp	strain
GCF_000685665.1	Helicobacter pylori		BM013A
GCF_000685745.1	Helicobacter pylori		BM013B
GCF_000817025.1	Helicobacter pylori		Hp238
GCF_000827025.1	Helicobacter pylori		26695-1MET
GCF_001653375.1	Helicobacter pylori		L7
GCF_001653435.1	Helicobacter pylori		ausabrJ05
GCF_001653475.1	Helicobacter pylori		PNG84A
GCF_002222575.1	Helicobacter pylori		G272
GCF_002357315.1	Helicobacter pylori		MKM5
GCF_002357375.1	Helicobacter pylori		F63
GCF_002357395.1	Helicobacter pylori		F51
GCF_002357435.1	Helicobacter pylori		F13
GCF_002357495.1	Helicobacter pylori		F209
GCF_002357515.1	Helicobacter pylori		F20
GCF_002357535.1	Helicobacter pylori		F210
GCF_002357555.1	Helicobacter pylori		F211
GCF_002357615.1	Helicobacter pylori		F24
GCF_002357655.1	Helicobacter pylori		F67
GCF_002357695.1	Helicobacter pylori		F72
GCF_002357735.1	Helicobacter pylori		F90
GCF_002357795.1	Helicobacter pylori		MKF3
GCF_002357815.1	Helicobacter pylori		MKF8
GCF_002357835.1	Helicobacter pylori		MKM1
GCF_002357855.1	Helicobacter pylori		MKM6
GCF_002906495.1	Helicobacter pylori		dRdM1
GCF_002906535.1	Helicobacter pylori		26695-dR
GCF_002906555.1	Helicobacter pylori		26695-dRdM2
GCF_002953555.1	Helicobacter pylori		dRdM2addM2
GCF_002983705.1	Helicobacter pylori		FDAARGOS_300
GCF_003050665.1	Helicobacter pylori		FDAARGOS_298
GCF_003636855.2	Helicobacter pylori		HP14039
GCF_003855475.1	Helicobacter pylori		Hpbs1
GCF_003957395.1	Helicobacter pylori		H-137
GCF_004295525.1	Helicobacter pylori		ATCC 43504
GCF_004295545.1	Helicobacter pylori		PMSS1
GCF_006337285.1	Helicobacter pylori		476-A2-EK2
GCF_006337305.1	Helicobacter pylori		381-F-EK9
GCF_006337325.1	Helicobacter pylori		381-C-EK1
GCF_006337405.1	Helicobacter pylori		19-C-EK1
GCF_006337425.1	Helicobacter pylori		476-A-EK5
GCF_006337465.1	Helicobacter pylori		280-A-EK1
GCF_006337485.1	Helicobacter pylori		173-A-EK1
GCF_006337745.1	Helicobacter pylori		26-A-EK1
GCF_006338285.1	Helicobacter pylori		20-A-EK1
GCF_006338415.1	Helicobacter pylori		19-A-EK3
GCF_006338545.1	Helicobacter pylori		13-A-EK8
GCF_006338815.1	Helicobacter pylori		476-C-EK5
GCF_006338945.1	Helicobacter pylori		479-C-EK2
GCF_006339235.1	Helicobacter pylori		25-A-EK1
GCF_006339365.1	Helicobacter pylori		5-A-EK1
GCF_006874685.1	Helicobacter pylori		USU101
GCF_007836735.1	Helicobacter pylori		B125A
